Rodada,Data,Time da Casa,Placar,Time Visitante
1,08/05/09,Ponte Preta,2-0,ABC
1,08/05/09,Campinense,1-2,Duque de Caxias
1,08/05/09,Figueirense,3-0,Ipatinga
1,08/05/09,Bragantino,2-0,São Caetano
1,09/05/09,Vila Nova,0-0,Portuguesa
1,09/05/09,Juventude,2-2,Ceará SC
1,09/05/09,Fortaleza,2-4,Guarani
1,09/05/09,Bahia,2-0,Paraná
1,09/05/09,Vasco da Gama,1-0,Brasiliense
1,09/05/09,América-RN,1-2,Atlético-GO
2,12/05/09,Atlético-GO,3-1,Bragantino
2,12/05/09,Portuguesa,2-1,Fortaleza
2,15/05/09,Paraná,0-0,Ponte Preta
2,15/05/09,Duque de Caxias,4-2,Juventude
2,16/05/09,Ceará SC,0-2,Vasco da Gama
2,16/05/09,São Caetano,2-1,Bahia
2,16/05/09,Guarani,1-0,América-RN
2,16/05/09,ABC,1-3,Figueirense
2,16/05/09,Ipatinga,4-0,Vila Nova
2,16/05/09,Brasiliense,2-1,Campinense
3,19/05/09,Bragantino,2-0,Duque de Caxias
3,19/05/09,Campinense,1-2,Guarani
3,22/05/09,Vila Nova,1-0,São Caetano
3,22/05/09,América-RN,3-1,Paraná
3,23/05/09,Figueirense,1-2,Portuguesa
3,23/05/09,Ponte Preta,1-2,Ipatinga
3,23/05/09,Vasco da Gama,3-0,Atlético-GO
3,23/05/09,Bahia,1-0,Ceará SC
3,23/05/09,Fortaleza,2-3,Brasiliense
3,23/05/09,Juventude,2-0,ABC
4,26/05/09,Ceará SC,2-2,Figueirense
4,26/05/09,ABC,2-1,Fortaleza
4,29/05/09,Guarani,3-2,Bragantino
4,29/05/09,Atlético-GO,1-1,Ponte Preta
4,30/05/09,Paraná,3-1,Vasco da Gama
4,30/05/09,Ipatinga,5-1,Campinense
4,30/05/09,Brasiliense,2-0,Juventude
4,30/05/09,Portuguesa,0-0,Bahia
4,30/05/09,São Caetano,0-1,América-RN
4,30/05/09,Duque de Caxias,1-2,Vila Nova
5,02/06/09,Juventude,0-1,Paraná
5,02/06/09,Bragantino,1-1,Ipatinga
5,05/06/09,Figueirense,0-1,Guarani
5,05/06/09,Fortaleza,1-1,Duque de Caxias
5,05/06/09,Vila Nova,1-0,Ceará SC
5,05/06/09,Campinense,2-1,Atlético-GO
5,06/06/09,Bahia,4-0,ABC
5,06/06/09,América-RN,2-1,Brasiliense
5,06/06/09,Vasco da Gama,0-0,São Caetano
5,06/06/09,Ponte Preta,5-2,Portuguesa
6,09/06/09,Brasiliense,3-0,Bahia
6,09/06/09,Ipatinga,0-3,Portuguesa
6,12/06/09,Fortaleza,3-2,Juventude
6,12/06/09,Paraná,3-3,Ceará SC
6,13/06/09,São Caetano,0-0,Ponte Preta
6,13/06/09,Atlético-GO,3-2,Figueirense
6,13/06/09,Duque de Caxias,4-1,América-RN
6,13/06/09,Guarani,0-0,Vasco da Gama
6,13/06/09,ABC,1-0,Vila Nova
6,13/06/09,Bragantino,3-2,Campinense
7,16/06/09,Portuguesa,0-1,Brasiliense
7,16/06/09,Ceará SC,2-1,São Caetano
7,19/06/09,Juventude,1-0,Bragantino
7,19/06/09,Figueirense,1-0,Paraná
7,19/06/09,Vasco da Gama,0-0,Duque de Caxias
7,20/06/09,Vila Nova,2-3,Atlético-GO
7,20/06/09,Ponte Preta,0-1,Guarani
7,20/06/09,Campinense,2-4,Fortaleza
7,20/06/09,Bahia,1-1,Ipatinga
7,20/06/09,América-RN,1-0,ABC
8,23/06/09,América-RN,1-2,Ponte Preta
8,23/06/09,Ipatinga,0-1,Fortaleza
8,26/06/09,Guarani,1-0,São Caetano
8,26/06/09,Juventude,1-1,Vila Nova
8,27/06/09,Duque de Caxias,0-0,Bahia
8,27/06/09,Figueirense,1-1,Vasco da Gama
8,27/06/09,Bragantino,1-2,Portuguesa
8,27/06/09,Ceará SC,2-0,Campinense
8,27/06/09,Atlético-GO,2-0,ABC
8,27/06/09,Paraná,0-2,Brasiliense
9,30/06/09,Brasiliense,1-1,Duque de Caxias
9,30/06/09,Vasco da Gama,0-0,Bragantino
10,03/07/09,Vila Nova,0-0,Guarani
10,03/07/09,ABC,1-1,Ipatinga
10,03/07/09,Portuguesa,1-0,Paraná
10,04/07/09,Fortaleza,0-0,Ceará SC
10,04/07/09,Campinense,0-1,América-RN
