Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
1ª,1,16/03/16,Confiança,1-0,Flamengo
1ª,1,16/03/16,Globo,0-0,Bahia
1ª,1,16/03/16,Rio Branco-ES,0-1,Santa Cruz
1ª,1,17/03/16,Ypiranga-RS,2-2,Atlético-GO
1ª,1,17/03/16,Brasil de Pelotas,0-1,Athletico-PR
1ª,1,05/04/16,Coruripe,0-1,Botafogo
1ª,1,06/04/16,Princesa-AM,1-2,Chapecoense
1ª,1,06/04/16,Resende,2-2,Ceará SC
1ª,1,06/04/16,Aparecidense,2-0,Sport Recife
1ª,1,06/04/16,Ivinhema,0-2,CRB
1ª,1,06/04/16,Tombense,0-3,Fluminense
1ª,2,06/04/16,Londrina,6-0,Parauapebas
1ª,2,06/04/16,Bahia,3-1,Globo
1ª,2,06/04/16,Santa Cruz,0-0,Rio Branco-ES
1ª,1,07/04/16,River-PI,2-1,Goiás
1ª,1,07/04/16,Caldense,1-2,Ponte Preta
1ª,2,07/04/16,Atlético-GO,0-2,Ypiranga-RS
1ª,2,07/04/16,Náutico,1-1,V. da Conquista
1ª,1,12/04/16,Operário-PR,2-1,Criciúma
1ª,1,13/04/16,Guarany Sobral,0-3,Coritiba
1ª,1,13/04/16,Remo,0-1,Vasco da Gama
1ª,2,13/04/16,Salgueiro,1-1,Ferroviária
1ª,1,14/04/16,Lajeadense,0-2,Figueirense
1ª,2,14/04/16,Ponte Preta,1-1,Caldense
1ª,2,14/04/16,Chapecoense,2-0,Princesa-AM
1ª,2,14/04/16,Athletico-PR,1-0,Brasil de Pelotas
1ª,1,19/04/16,Brasília,0-2,Bragantino
1ª,1,20/04/16,RB Brasil,1-1,América-MG
1ª,1,20/04/16,Campinense,0-0,Cruzeiro
1ª,2,20/04/16,Sampaio Corrêa,0-1,Inter de Lages
1ª,2,20/04/16,ABC,3-2,Goianésia
1ª,2,20/04/16,Flamengo,3-0,Confiança
1ª,1,21/04/16,Operário VG,1-0,Avaí
1ª,1,21/04/16,Santos-AP,1-1,Santos
1ª,2,21/04/16,Paraná,2-0,Estanciano
1ª,2,26/04/16,Ceará SC,1-1,Resende
1ª,2,26/04/16,Portuguesa,1-0,Parnahyba
1ª,1,27/04/16,Independente-PA,1-2,Paysandu
1ª,2,27/04/16,Vitória,3-1,Náutico-RR
1ª,2,27/04/16,Goiás,9-9 pen.,River-PI
1ª,2,27/04/16,Vasco da Gama,2-1,Remo
1ª,2,28/04/16,Avaí,2-0,Operário VG
1ª,2,28/04/16,América-MG,3-2,RB Brasil
1ª,2,28/04/16,Criciúma,1-1,Operário-PR
