Rodada,Data,Time da Casa,Placar,Time Visitante
1F,26/01/92,Corinthians,1-4,Vasco
1F,26/01/92,Botafogo,3-1,Atlético Paranaense
1F,26/01/92,Cruzeiro,2-0,Guarani
1F,26/01/92,Náutico,0-0,Sport
1F,26/01/92,Paysandu,2-1,Goiás
1F,27/01/92,Portuguesa,2-2,Fluminense
1F,27/01/92,Internacional,0-1,Bragantino
1F,29/01/92,Palmeiras,1-1,Atlético Mineiro
1F,29/01/92,Santos,1-1,São Paulo
1F,29/01/92,Bahia,1-1,Flamengo
1F,01/02/92,Internacional,4-1,Palmeiras
1F,01/02/92,Atlético Mineiro,0-2,Botafogo
1F,02/02/92,Corinthians,1-1,Santos
1F,02/02/92,Bragantino,0-0,São Paulo
1F,02/02/92,Fluminense,1-0,Paysandu
1F,02/02/92,Sport,0-0,Cruzeiro
1F,02/02/92,Atlético Paranaense,0-0,Náutico
1F,02/02/92,Guarani,1-3,Flamengo
1F,02/02/92,Bahia,2-1,Portuguesa
1F,02/02/92,Vasco,1-1,Goiás
1F,08/02/92,Palmeiras,3-0,Fluminense
1F,08/02/92,Goiás,1-0,Santos
1F,09/02/92,Flamengo,2-2,Botafogo
1F,09/02/92,São Paulo,2-1,Bahia
1F,09/02/92,Portuguesa,1-1,Internacional
1F,09/02/92,Bragantino,0-0,Sport
1F,09/02/92,Paysandu,1-0,Cruzeiro
1F,09/02/92,Náutico,2-0,Guarani
1F,10/02/92,Atlético Mineiro,0-1,Corinthians
1F,10/02/92,Atlético Paranaense,0-2,Vasco
1F,15/02/92,Palmeiras,1-2,Flamengo
1F,15/02/92,São Paulo,2-0,Atlético Mineiro
1F,15/02/92,Atlético Paranaense,0-2,Portuguesa
1F,16/02/92,Corinthians,2-0,Náutico
1F,16/02/92,Vasco,2-0,Paysandu
1F,16/02/92,Cruzeiro,3-0,Bragantino
1F,16/02/92,Sport,1-0,Botafogo
1F,16/02/92,Bahia,1-1,Goiás
1F,17/02/92,Santos,1-0,Guarani
1F,17/02/92,Internacional,1-0,Fluminense
1F,19/02/92,Flamengo,3-2,São Paulo
1F,19/02/92,Corinthians,2-3,Portuguesa
1F,19/02/92,Bragantino,1-0,Palmeiras
1F,19/02/92,Botafogo,3-1,Bahia
1F,19/02/92,Goiás,0-0,Atlético Mineiro
1F,20/02/92,Vasco,1-1,Fluminense
1F,20/02/92,Santos,2-1,Paysandu
1F,20/02/92,Cruzeiro,4-0,Atlético Paranaense
1F,20/02/92,Guarani,1-3,Sport
1F,20/02/92,Náutico,2-2,Internacional
1F,22/02/92,Botafogo,2-4,Corinthians
1F,23/02/92,Atlético Mineiro,0-4,Vasco
1F,23/02/92,Fluminense,4-0,Santos
1F,23/02/92,São Paulo,0-1,Guarani
1F,23/02/92,Paysandu,0-0,Palmeiras
1F,23/02/92,Goiás,1-2,Internacional
1F,23/02/92,Bragantino,1-0,Náutico
1F,23/02/92,Bahia,2-3,Atlético Paranaense
1F,24/02/92,Flamengo,1-2,Cruzeiro
1F,24/02/92,Sport,0-0,Portuguesa
1F,07/03/92,Santos,2-0,Flamengo
1F,07/03/92,Corinthians,0-0,Sport
1F,07/03/92,Portuguesa,0-1,Bragantino
1F,08/03/92,São Paulo,0-4,Palmeiras
1F,08/03/92,Internacional,2-0,Atlético Mineiro
1F,08/03/92,Fluminense,2-1,Bahia
1F,08/03/92,Atlético Paranaense,2-0,Goiás
1F,08/03/92,Náutico,5-1,Paysandu
1F,09/03/92,Vasco,1-2,Guarani
1F,09/03/92,Cruzeiro,1-1,Botafogo
1F,11/03/92,Internacional,1-0,São Paulo
1F,11/03/92,Atlético Mineiro,1-1,Flamengo
1F,11/03/92,Guarani,1-0,Palmeiras
1F,11/03/92,Sport,2-2,Santos
1F,11/03/92,Goiás,2-2,Fluminense
1F,11/03/92,Paysandu,3-2,Portuguesa
1F,11/03/92,Bragantino,1-1,Atlético Paranaense
1F,12/03/92,Corinthians,0-0,Cruzeiro
1F,12/03/92,Vasco,3-1,Bahia
1F,12/03/92,Botafogo,3-2,Náutico
1F,14/03/92,Flamengo,0-1,Bragantino
1F,14/03/92,Atlético Mineiro,2-3,Atlético Paranaense
1F,15/03/92,Fluminense,1-2,Botafogo
1F,15/03/92,Palmeiras,1-2,Vasco
1F,15/03/92,Goiás,4-2,Náutico
1F,15/03/92,Sport,3-0,Paysandu
1F,16/03/92,Internacional,2-0,Cruzeiro
1F,16/03/92,Santos,2-0,Portuguesa
1F,18/03/92,Bahia,0-0,Guarani
1F,21/03/92,Paysandu,1-2,Corinthians
1F,21/03/92,Náutico,0-0,Flamengo
1F,22/03/92,Vasco,1-0,Sport
1F,22/03/92,Fluminense,1-0,Atlético Mineiro
1F,22/03/92,Santos,0-1,Bragantino
1F,22/03/92,Portuguesa,1-2,Guarani
1F,22/03/92,Cruzeiro,2-0,Goiás
1F,23/03/92,Botafogo,2-0,Palmeiras
1F,23/03/92,São Paulo,5-0,Atlético Paranaense
1F,23/03/92,Internacional,1-1,Bahia
1F,25/03/92,São Paulo,0-0,Corinthians
1F,28/03/92,Portuguesa,1-3,Botafogo
1F,29/03/92,Vasco,4-2,Flamengo
1F,29/03/92,Palmeiras,1-2,Corinthians
1F,29/03/92,Atlético Mineiro,2-0,Cruzeiro
1F,29/03/92,Sport,0-0,São Paulo
1F,29/03/92,Guarani,0-0,Goiás
1F,29/03/92,Bahia,3-0,Náutico
1F,29/03/92,Bragantino,3-1,Paysandu
1F,30/03/92,Santos,4-0,Internacional
1F,30/03/92,Atlético Paranaense,1-0,Fluminense
1F,04/04/92,Cruzeiro,0-2,São Paulo
1F,04/04/92,Paysandu,0-2,Botafogo
1F,05/04/92,Flamengo,2-0,Atlético Paranaense
