Rodada,Data,Time da Casa,Placar,Time Visitante
1,20/05/11,Bragantino,1-1,ABC
1,20/05/11,Goiás,1-0,Grêmio Barueri
1,20/05/11,Salgueiro,1-1,São Caetano
1,21/05/11,Guaratinguetá,1-1,Duque de Caxias
1,21/05/11,Criciúma,2-2,Guarani
1,21/05/11,Ponte Preta,5-0,ASA
1,21/05/11,Portuguesa,4-0,Náutico
1,21/05/11,Sport,1-0,Icasa
1,21/05/11,Vitória,1-0,Vila Nova
1,21/05/11,Ituiutaba,1-2,Paraná
2,24/05/11,ASA,2-1,Guaratinguetá
2,24/05/11,Paraná,1-1,Portuguesa
2,27/05/11,Grêmio Barueri,3-2,Bragantino
2,27/05/11,São Caetano,0-2,Ituiutaba
2,27/05/11,Vila Nova,3-1,Ponte Preta
2,28/05/11,Duque de Caxias,1-2,Criciúma
2,28/05/11,Guarani,1-1,Sport
2,28/05/11,Icasa,3-1,Vitória
2,28/05/11,Náutico,1-0,Goiás
2,28/05/11,ABC,1-1,Salgueiro
3,31/05/11,Goiás,4-1,ASA
3,31/05/11,Sport,1-0,Grêmio Barueri
3,03/06/11,Bragantino,1-2,São Caetano
3,03/06/11,Portuguesa,2-3,ABC
3,03/06/11,Vitória,0-1,Guarani
3,04/06/11,Guaratinguetá,1-0,Paraná
3,04/06/11,Criciúma,0-0,Náutico
3,04/06/11,Ponte Preta,4-1,Icasa
3,04/06/11,Salgueiro,2-0,Duque de Caxias
3,04/06/11,Ituiutaba,0-0,Vila Nova
4,07/06/11,ABC,2-0,Goiás
4,08/06/11,São Caetano,1-1,Ponte Preta
4,10/06/11,Duque de Caxias,2-3,Vitória
4,10/06/11,Guarani,2-0,Ituiutaba
4,10/06/11,Paraná,1-0,Salgueiro
4,11/06/11,ASA,1-1,Sport
4,11/06/11,Grêmio Barueri,1-1,Portuguesa
4,11/06/11,Náutico,2-2,Bragantino
4,11/06/11,Vila Nova,2-0,Criciúma
4,11/06/11,Icasa,2-2,Guaratinguetá
5,14/06/11,Goiás,0-3,Paraná
5,14/06/11,Ituiutaba,1-0,Icasa
5,14/06/11,Ponte Preta,2-0,Grêmio Barueri
5,14/06/11,Portuguesa,3-2,Guarani
5,14/06/11,Salgueiro,0-2,Náutico
5,14/06/11,Guaratinguetá,1-0,São Caetano
5,14/06/11,Bragantino,1-0,Vila Nova
5,14/06/11,Criciúma,1-0,ASA
5,14/06/11,Sport,1-1,Duque de Caxias
5,14/06/11,Vitória,1-1,ABC
6,17/06/11,Criciúma,0-0,Ituiutaba
6,17/06/11,Grêmio Barueri,1-0,ASA
6,17/06/11,Portuguesa,5-0,Bragantino
6,17/06/11,Icasa,0-0,São Caetano
6,18/06/11,Duque de Caxias,0-2,Ponte Preta
6,18/06/11,Guarani,1-2,Guaratinguetá
6,18/06/11,Náutico,1-1,Paraná
6,18/06/11,Salgueiro,2-0,Goiás
6,18/06/11,Vitória,2-0,Sport
6,18/06/11,Vila Nova,2-2,ABC
7,21/06/11,Bragantino,0-0,Guarani
7,22/06/11,São Caetano,4-2,Duque de Caxias
7,24/06/11,Ituiutaba,2-0,Grêmio Barueri
7,24/06/11,Paraná,2-0,Icasa
7,24/06/11,Sport,0-0,Criciúma
7,25/06/11,ABC,1-0,Náutico
7,25/06/11,Guaratinguetá,1-0,Salgueiro
7,25/06/11,Goiás,1-4,Portuguesa
7,25/06/11,Ponte Preta,0-0,Vitória
7,25/06/11,ASA,1-0,Vila Nova
8,28/06/11,Guaratinguetá,1-0,Grêmio Barueri
8,28/06/11,Duque de Caxias,0-0,Náutico
8,28/06/11,Guarani,0-1,Vila Nova
8,28/06/11,Portuguesa,5-2,São Caetano
8,28/06/11,Sport,2-0,ABC
8,28/06/11,Criciúma,1-0,Bragantino
8,28/06/11,Goiás,2-0,Ituiutaba
8,28/06/11,Icasa,1-1,ASA
8,28/06/11,Salgueiro,2-3,Ponte Preta
8,28/06/11,Vitória,1-0,Paraná
9,01/07/11,Bragantino,2-0,Guaratinguetá
9,01/07/11,Ituiutaba,0-0,Salgueiro
9,01/07/11,Vila Nova,1-2,Icasa
9,01/07/11,Ponte Preta,2-1,Goiás
9,02/07/11,Grêmio Barueri,1-0,Vitória
9,02/07/11,ASA,2-0,Portuguesa
9,02/07/11,Náutico,2-0,Guarani
9,02/07/11,Paraná,3-1,Duque de Caxias
9,02/07/11,São Caetano,3-3,Sport
9,02/07/11,ABC,1-1,Criciúma
10,05/07/11,Criciúma,2-0,Goiás
10,05/07/11,Duque de Caxias,2-3,Grêmio Barueri
10,08/07/11,Portuguesa,1-0,Salgueiro
10,08/07/11,Vila Nova,2-0,São Caetano
10,08/07/11,Vitória,4-1,Bragantino
10,09/07/11,Guaratinguetá,2-1,Ituiutaba
10,09/07/11,ASA,4-2,Paraná
10,09/07/11,Icasa,1-2,Náutico
10,09/07/11,Sport,3-1,Ponte Preta
10,10/07/11,Guarani,1-2,ABC
11,12/07/11,Náutico,3-2,Guaratinguetá
11,12/07/11,São Caetano,2-0,ASA
11,15/07/11,Goiás,4-1,Vitória
11,15/07/11,Ituiutaba,1-2,Portuguesa
11,15/07/11,Paraná,2-1,Vila Nova
11,16/07/11,Bragantino,3-2,Sport
11,16/07/11,Grêmio Barueri,1-2,Icasa
11,16/07/11,Ponte Preta,2-0,Guarani
11,16/07/11,Salgueiro,2-1,Criciúma
11,16/07/11,ABC,3-0,Duque de Caxias
12,19/07/11,Guaratinguetá,1-3,Goiás
12,19/07/11,Duque de Caxias,1-1,Icasa
12,22/07/11,ASA,3-2,Guarani
12,22/07/11,São Caetano,1-1,Grêmio Barueri
12,22/07/11,Sport,3-0,Salgueiro
12,23/07/11,Criciúma,1-2,Paraná
12,23/07/11,Ponte Preta,1-3,Bragantino
12,23/07/11,Vila Nova,0-0,Náutico
12,23/07/11,Vitória,0-2,Portuguesa
12,23/07/11,Ituiutaba,0-0,ABC
13,26/07/11,Bragantino,1-2,Ituiutaba
13,26/07/11,Goiás,2-1,Sport
13,26/07/11,Grêmio Barueri,1-0,Vila Nova
13,26/07/11,Guarani,4-0,Duque de Caxias
13,26/07/11,Portuguesa,0-0,Guaratinguetá
13,26/07/11,ABC,2-2,São Caetano
13,26/07/11,Icasa,0-1,Criciúma
13,26/07/11,Náutico,2-0,Vitória
13,26/07/11,Paraná,0-1,Ponte Preta
13,26/07/11,Salgueiro,1-1,ASA
14,29/07/11,ASA,4-3,ABC
14,29/07/11,Criciúma,1-0,Guaratinguetá
14,29/07/11,Vila Nova,1-0,Salgueiro
14,29/07/11,Duque de Caxias,2-3,Goiás
14,30/07/11,Grêmio Barueri,1-3,Guarani
14,30/07/11,Icasa,2-0,Bragantino
14,30/07/11,Ponte Preta,0-3,Portuguesa
