Rodada,Data,Time da Casa,Placar,Time Visitante
B,22/03/92,Tuna Luso,1-0,Moto Club
G,22/03/92,Chapecoense,2-0,Blumenau
G,22/03/92,Operário Ferroviário,2-0,Grêmio Maringá
A,22/03/92,Macapá,2-0,Ji-Paraná
F,22/03/92,Marília,1-0,Rio Branco de Andradas
F,22/03/92,São Bento,2-2,Matsubara
B,22/03/92,Sampaio Corrêa,1-1,Izabelense
C,22/03/92,Ferroviário,1-1,Auto Esporte
C,22/03/92,Vitória-PE,3-1,CRB
D,22/03/92,Fluminense de Feira,1-1,Catuense
D,22/03/92,Sergipe,1-1,ASA
E,22/03/92,CR Guará,1-1,Rio Pardo-ES
E,22/03/92,Tiradentes-DF,0-1,Atlético Goianiense
A,22/03/92,Nacional-AM,0-0,Atlético-AC
B,25/03/92,Izabelense,3-4,Moto Club
A,25/03/92,Atlético-AC,0-0,Macapá
B,26/03/92,Flamengo-PI,0-0,Sampaio Corrêa
C,26/03/92,CRB,3-0,Treze
C,26/03/92,Vitória-PE,2-1,Ferroviário
D,26/03/92,Fluminense de Feira,1-1,ASA
E,26/03/92,CR Guará,1-0,Atlético Goianiense
A,26/03/92,Rio Negro-AM,0-2,Nacional-AM
E,27/03/92,Tiradentes-DF,0-1,Rio Pardo-ES
E,28/03/92,Tiradentes-DF,2-1,CR Guará
C,28/03/92,CRB,4-2,Ferroviário
B,29/03/92,Tuna Luso,1-0,Flamengo-PI
F,29/03/92,Matsubara,3-1,Marília
E,29/03/92,Atlético Goianiense,1-1,Rio Pardo-ES
D,29/03/92,Catuense,1-0,Sergipe
F,29/03/92,Rio Branco de Andradas,2-1,São Bento
G,29/03/92,Blumenau,1-2,Operário Ferroviário
G,29/03/92,Chapecoense,1-2,Grêmio Maringá
A,29/03/92,Rio Negro-AM,4-0,Ji-Paraná
C,29/03/92,Auto Esporte,3-1,Treze
B,29/03/92,Moto Club,1-0,Sampaio Corrêa
A,29/03/92,Nacional-AM,0-0,Macapá
A,01/04/92,Rio Negro-AM,1-1,Atlético-AC
F,01/04/92,Marília,1-2,São Bento
B,02/04/92,Moto Club,2-0,Flamengo-PI
B,02/04/92,Tuna Luso,3-1,Izabelense
C,02/04/92,Auto Esporte,1-1,Vitória-PE
A,02/04/92,Nacional-AM,1-0,Ji-Paraná
C,04/04/92,Ferroviário,5-3,Treze
D,05/04/92,Sergipe,2-2,Fluminense de Feira
E,05/04/92,Atlético Goianiense,3-0,Tiradentes-DF
B,05/04/92,Tuna Luso,3-0,Sampaio Corrêa
E,05/04/92,Rio Pardo-ES,0-0,CR Guará
C,05/04/92,Treze,1-1,Vitória-PE
F,05/04/92,Matsubara,2-1,Rio Branco de Andradas
G,05/04/92,Operário Ferroviário,5-1,Chapecoense
G,05/04/92,Grêmio Maringá,2-0,Blumenau
A,05/04/92,Atlético-AC,0-1,Ji-Paraná
C,05/04/92,Auto Esporte,1-0,CRB
D,05/04/92,ASA,0-0,Catuense
B,05/04/92,Flamengo-PI,2-1,Izabelense
A,05/04/92,Rio Negro-AM,2-2,Macapá
E,08/04/92,Rio Pardo-ES,2-0,Tiradentes-DF
E,08/04/92,Atlético Goianiense,0-0,CR Guará
B,08/04/92,Izabelense,2-2,Sampaio Corrêa
A,08/04/92,Atlético-AC,1-2,Nacional-AM
F,08/04/92,Matsubara,3-0,São Bento
G,08/04/92,Grêmio Maringá,1-0,Operário Ferroviário
F,09/04/92,Rio Branco de Andradas,0-1,Marília
B,09/04/92,Moto Club,0-0,Tuna Luso
A,09/04/92,Ji-Paraná,1-0,Rio Negro-AM
C,09/04/92,Treze,1-1,Auto Esporte
G,10/04/92,Blumenau,0-2,Chapecoense
C,10/04/92,Ferroviário,0-1,CRB
E,12/04/92,Rio Pardo-ES,1-1,Atlético Goianiense
G,12/04/92,Grêmio Maringá,0-2,Chapecoense
G,12/04/92,Operário Ferroviário,1-0,Blumenau
C,12/04/92,Ferroviário,1-0,Vitória-PE
D,12/04/92,ASA,1-0,Sergipe
D,12/04/92,Catuense,0-2,Fluminense de Feira
F,12/04/92,Rio Branco de Andradas,2-0,Matsubara
B,12/04/92,Izabelense,0-1,Tuna Luso
E,12/04/92,CR Guará,1-0,Tiradentes-DF
A,12/04/92,Macapá,0-0,Atlético-AC
B,12/04/92,Flamengo-PI,0-1,Moto Club
C,12/04/92,CRB,1-0,Auto Esporte
A,12/04/92,Nacional-AM,0-1,Rio Negro-AM
F,13/04/92,São Bento,1-0,Marília
C,16/04/92,Treze,0-0,CRB
G,16/04/92,Blumenau,0-0,Grêmio Maringá
B,16/04/92,Flamengo-PI,1-1,Tuna Luso
A,16/04/92,Ji-Paraná,0-2,Atlético-AC
B,16/04/92,Sampaio Corrêa,0-0,Moto Club
C,17/04/92,Vitória-PE,1-3,Auto Esporte
A,17/04/92,Macapá,0-2,Nacional-AM
C,19/04/92,Treze,1-2,Ferroviário
D,19/04/92,Catuense,1-0,ASA
F,19/04/92,Marília,1-2,Matsubara
F,19/04/92,São Bento,1-0,Rio Branco de Andradas
G,19/04/92,Chapecoense,1-1,Operário Ferroviário
A,19/04/92,Ji-Paraná,3-3,Macapá
D,19/04/92,Fluminense de Feira,5-0,Sergipe
B,19/04/92,Izabelense,1-1,Flamengo-PI
B,19/04/92,Sampaio Corrêa,0-1,Tuna Luso
