Rodada,Data,Time da Casa,Placar,Time Visitante
1,16/07/11,Nacional-AM,0-0,Vila Aurora
8,16/07/11,Juventude,4-0,Brusque
6,16/07/11,São Mateus,0-0,Volta Redonda
3,17/07/11,Guarani de Juazeiro,3-0,Santa Cruz-RN
6,17/07/11,Sendas,0-0,Formosa
3,17/07/11,Alecrim,1-3,Santa Cruz
4,17/07/11,Bahia de Feira,1-0,River Plate-SE
4,17/07/11,Treze,2-0,Vitória da Conquista
5,17/07/11,Tocantinópolis,1-2,Anapolina
7,17/07/11,CENE,3-3,Oeste
8,17/07/11,Cianorte,1-0,Cruzeiro-RS
1,17/07/11,Penarol-AM,1-2,Cuiabá
2,17/07/11,São Raimundo-PA,1-2,Sampaio Corrêa
2,17/07/11,Trem,2-1,Independente Tucuruí
7,17/07/11,Mirassol,1-0,Operário Ferroviário
5,18/07/11,Itumbiara,1-3,Tupi
5,23/07/11,Tupi,0-0,Tocantinópolis
6,23/07/11,Volta Redonda,0-1,Villa Nova-MG
8,23/07/11,Cruzeiro-RS,0-2,Metropolitano
7,23/07/11,Oeste,2-1,Cerâmica
2,23/07/11,Independente Tucuruí,4-1,Comercial-PI
4,23/07/11,River Plate-SE,1-2,Coruripe
1,24/07/11,Vila Aurora,1-1,Plácido de Castro
2,24/07/11,Sampaio Corrêa,5-0,Trem
3,24/07/11,Santa Cruz-RN,2-0,Porto-PE
3,24/07/11,Santa Cruz,0-0,Guarani de Juazeiro
4,24/07/11,Vitória da Conquista,0-3,Bahia de Feira
5,24/07/11,Anapolina,1-1,Gama
6,24/07/11,Formosa,1-0,São Mateus
7,24/07/11,Operário Ferroviário,0-2,CENE
8,24/07/11,Brusque,1-1,Cianorte
1,24/07/11,Cuiabá,3-1,Nacional-AM
4,29/07/11,Coruripe,2-1,Vitória da Conquista
6,30/07/11,Villa Nova-MG,1-0,Formosa
7,30/07/11,CENE,4-1,Mirassol
1,30/07/11,Nacional-AM,1-2,Penarol-AM
6,30/07/11,São Mateus,1-4,Sendas
1,30/07/11,Plácido de Castro,1-0,Cuiabá
2,31/07/11,Comercial-PI,2-1,Sampaio Corrêa
3,31/07/11,Porto-PE,2-2,Santa Cruz
3,31/07/11,Guarani de Juazeiro,0-1,Alecrim
4,31/07/11,Bahia de Feira,1-2,Treze
5,31/07/11,Gama,1-1,Tupi
5,31/07/11,Tocantinópolis,3-2,Itumbiara
7,31/07/11,Cerâmica,1-1,Operário Ferroviário
8,31/07/11,Cianorte,2-1,Juventude
8,31/07/11,Metropolitano,2-1,Brusque
2,01/08/11,Trem,2-0,São Raimundo-PA
8,06/08/11,Metropolitano,1-2,Cianorte
5,06/08/11,Gama,2-1,Tocantinópolis
6,06/08/11,Villa Nova-MG,4-1,São Mateus
8,06/08/11,Cruzeiro-RS,0-1,Juventude
7,06/08/11,Oeste,0-1,Mirassol
1,06/08/11,Plácido de Castro,2-0,Nacional-AM
2,06/08/11,Independente Tucuruí,0-0,São Raimundo-PA
4,06/08/11,River Plate-SE,2-1,Treze
4,06/08/11,Coruripe,2-1,Bahia de Feira
1,07/08/11,Vila Aurora,0-0,Penarol-AM
2,07/08/11,Comercial-PI,1-0,Trem
3,07/08/11,Porto-PE,0-0,Guarani de Juazeiro
3,07/08/11,Santa Cruz-RN,2-1,Alecrim
5,07/08/11,Anapolina,2-3,Itumbiara
6,07/08/11,Volta Redonda,1-0,Sendas
7,07/08/11,Cerâmica,3-0,CENE
5,11/08/11,Itumbiara,2-0,Gama
6,13/08/11,Sendas,1-2,Villa Nova-MG
5,13/08/11,Tupi,3-1,Anapolina
4,13/08/11,Treze,4-3,Coruripe
2,14/08/11,Sampaio Corrêa,4-1,Independente Tucuruí
3,14/08/11,Santa Cruz,1-0,Santa Cruz-RN
3,14/08/11,Alecrim,1-0,Porto-PE
4,14/08/11,Vitória da Conquista,1-1,River Plate-SE
6,14/08/11,Formosa,0-0,Volta Redonda
7,14/08/11,Operário Ferroviário,0-2,Oeste
8,14/08/11,Brusque,1-0,Cruzeiro-RS
1,14/08/11,Penarol-AM,2-0,Plácido de Castro
1,14/08/11,Cuiabá,3-1,Vila Aurora
2,14/08/11,São Raimundo-PA,1-0,Comercial-PI
8,14/08/11,Juventude,4-2,Metropolitano
7,14/08/11,Mirassol,0-0,Cerâmica
5,18/08/11,Itumbiara,1-0,Anapolina
6,20/08/11,Sendas,1-1,Volta Redonda
7,20/08/11,CENE,2-0,Cerâmica
1,20/08/11,Nacional-AM,2-0,Plácido de Castro
8,20/08/11,Juventude,1-1,Cruzeiro-RS
6,20/08/11,São Mateus,1-1,Villa Nova-MG
4,20/08/11,Bahia de Feira,2-0,Coruripe
3,21/08/11,Guarani de Juazeiro,2-0,Porto-PE
3,21/08/11,Alecrim,0-2,Santa Cruz-RN
4,21/08/11,Treze,3-1,River Plate-SE
5,21/08/11,Tocantinópolis,1-3,Gama
8,21/08/11,Cianorte,1-0,Metropolitano
1,21/08/11,Penarol-AM,1-0,Vila Aurora
2,21/08/11,São Raimundo-PA,1-1,Independente Tucuruí
7,21/08/11,Mirassol,0-0,Oeste
2,22/08/11,Trem,1-1,Comercial-PI
8,27/08/11,Cruzeiro-RS,0-1,Brusque
8,27/08/11,Metropolitano,2-4,Juventude
6,27/08/11,Villa Nova-MG,2-1,Sendas
5,27/08/11,Gama,1-1,Itumbiara
7,27/08/11,Oeste,0-1,Operário Ferroviário
1,27/08/11,Plácido de Castro,0-0,Penarol-AM
2,27/08/11,Independente Tucuruí,2-1,Sampaio Corrêa
