Rodada,Data,Time da Casa,Placar,Time Visitante
1F,17/02/26,Sampaio Corrêa-RJ,1-1(1-3 Pen.),Desportiva Ferroviária
1F,18/02/26,Porto-BA,2-1,Serra Branca-PB
1F,18/02/26,Maguary-PE,1-0,Laguna
1F,18/02/26,Baré,0-3,Madureira
1F,18/02/26,Araguaína,0-3,Primavera
1F,18/02/26,Betim Futebol,1-0,Piauí
1F,18/02/26,América-SE,1-1(3-5 Pen.),Tirol
1F,18/02/26,Santa Catarina,2-0,IAPE
1F,18/02/26,Gama,2-0,Monte Roraima
1F,18/02/26,Ji-Paraná,2-0,FC Pantanal
1F,18/02/26,Ivinhema,1-0,Independente-AP
1F,18/02/26,Galvez EC,1-1(2-3 Pen.),Guaporé
1F,19/02/26,Primavera AC,2-1,Bragantino-PA
1F,19/02/26,Vasco da Gama-AC,1-1(2-3 Pen.),Velo Clube
2F,24/02/26,Boavista-RJ,2-3,Maringá
2F,24/02/26,Joinville,1-0,CSA
2F,24/02/26,América-RN,3-0,GAS
2F,24/02/26,Fortaleza,4-3,Maguary-PE
2F,25/02/26,Castanhal,1-1(5-3 Pen.),Guarani
2F,25/02/26,Juazeirense,1-1(1-3 Pen.),Capital CF
2F,25/02/26,Atlético Goianiense,1-0,Primavera AC
2F,25/02/26,Grêmio Novorizontino,4-0,Nacional-AM
2F,25/02/26,Madureira,1-0,ABC
2F,25/02/26,São Luiz,0-1,Maranhão
2F,25/02/26,Tombense,1-1(4-2 Pen.),Oratório
2F,25/02/26,Retrô FC,1-2,Uberlândia
2F,25/02/26,Londrina,1-0,Penedense
2F,25/02/26,Anápolis,3-1,Cianorte
2F,25/02/26,Imperatriz,0-3,Amazonas FC
2F,25/02/26,Ceilândia,1-1(1-4 Pen.),Jacuipense
2F,25/02/26,Ypiranga-RS,2-0,Ji-Paraná
2F,25/02/26,São Bernardo,2-0,Atlético-BA
2F,25/02/26,ASA,1-2,Operário-MS
2F,25/02/26,Caxias,0-1,Guarany de Bagé
2F,25/02/26,Gama,2-2(4-5 Pen.),Goiás
2F,25/02/26,Águia,2-0,Independência-AC
2F,25/02/26,Mixto,1-1(4-3 Pen.),Botafogo-PB
2F,26/02/26,Ceará,2-1,Primavera
