Rodada,Data,Time da Casa,Placar,Time Visitante
,05/05/04,Atlético-AC,1-1,Independência-AC
,05/05/04,Vasco da Gama-AC,1-1,Andirá-AC
,08/05/04,ADESG,0-0,Rio Branco-AC
,09/05/04,Vasco da Gama-AC,3-2,Independência-AC
,09/05/04,Juventus-AC,0-3,Atlético-AC
,12/05/04,ADESG,0-0,Andirá-AC
,12/05/04,Rio Branco-AC,1-2,Juventus-AC
,16/05/04,Vasco da Gama-AC,0-2,Atlético-AC
,16/05/04,Independência-AC,0-0,ADESG
,19/05/04,Juventus-AC,3-2,Andirá-AC
,19/05/04,Rio Branco-AC,0-1,Vasco da Gama-AC
,22/05/04,ADESG,1-2,Atlético-AC
,23/05/04,Andirá-AC,0-5,Independência-AC
,23/05/04,Vasco da Gama-AC,1-4,Juventus-AC
,26/05/04,Atlético-AC,0-3,Rio Branco-AC
,26/05/04,Juventus-AC,2-1,ADESG
,29/05/04,ADESG,0-4,Vasco da Gama-AC
,30/05/04,Rio Branco-AC,4-2,Andirá-AC
,30/05/04,Independência-AC,1-1,Juventus-AC
,03/06/04,Andirá-AC,1-0,Atlético-AC
,03/06/04,Rio Branco-AC,4-1,Independência-AC
,10/06/04,Vasco da Gama-AC,1-2,Andirá-AC
,10/06/04,Rio Branco-AC,1-0,Atlético-AC
,12/06/04,ADESG,0-2,Juventus-AC
,13/06/04,Andirá-AC,2-1,Rio Branco-AC
,13/06/04,Vasco da Gama-AC,1-1,Independência-AC
,17/06/04,Rio Branco-AC,5-0,ADESG
,17/06/04,Juventus-AC,1-3,Atlético-AC
,20/06/04,Atlético-AC,5-4,ADESG
,20/06/04,Independência-AC,2-0,Andirá-AC
,24/06/04,Vasco da Gama-AC,1-3,Rio Branco-AC
,24/06/04,Juventus-AC,3-3,Independência-AC
,26/06/04,ADESG,0-3,Andirá-AC
,27/06/04,Atlético-AC,1-3,Vasco da Gama-AC
,27/06/04,Independência-AC,3-3,Rio Branco-AC
,01/07/04,Andirá-AC,0-2,Juventus-AC
,01/07/04,Independência-AC,2-1,Atlético-AC
,04/07/04,Juventus-AC,1-1,Vasco da Gama-AC
,04/07/04,Atlético-AC,2-2,Andirá-AC
,08/07/04,Vasco da Gama-AC,1-0,ADESG
,08/07/04,Juventus-AC,0-3,Rio Branco-AC
,10/07/04,ADESG,3-3,Independência-AC
F,15/07/04,Juventus-AC,0-2,Rio Branco-AC
F,18/07/04,Rio Branco-AC,2-0,Juventus-AC
