Rodada,Data,Time da Casa,Placar,Time Visitante
1F,18/01/14,Nova Iguaçu,1-0,Duque de Caxias
1F,18/01/14,Madureira,3-2,Fluminense
1F,18/01/14,Friburguense,1-2,Bangu
1F,18/01/14,Vasco,1-1,Boavista-RJ
1F,18/01/14,Resende,1-1,Botafogo
1F,19/01/14,Flamengo,1-0,Audax Rio
1F,19/01/14,Cabofriense,3-2,Macaé
1F,19/01/14,Bonsucesso,0-0,Volta Redonda
1F,21/01/14,Boavista-RJ,1-0,Madureira
1F,21/01/14,Botafogo,0-0,Bangu
1F,22/01/14,Duque de Caxias,0-1,Friburguense
1F,22/01/14,Audax Rio,0-0,Resende
1F,22/01/14,Macaé,1-1,Vasco
1F,22/01/14,Volta Redonda,0-1,Flamengo
1F,23/01/14,Nova Iguaçu,0-0,Cabofriense
1F,23/01/14,Fluminense,1-1,Bonsucesso
1F,23/01/14,Botafogo,2-1,Madureira
1F,25/01/14,Bangu,0-0,Audax Rio
1F,25/01/14,Flamengo,2-2,Duque de Caxias
1F,26/01/14,Cabofriense,2-1,Botafogo
1F,26/01/14,Madureira,0-4,Macaé
1F,26/01/14,Nova Iguaçu,1-3,Fluminense
1F,26/01/14,Bonsucesso,0-0,Boavista-RJ
1F,26/01/14,Resende,6-2,Volta Redonda
1F,26/01/14,Vasco,6-0,Friburguense
1F,29/01/14,Bangu,1-2,Nova Iguaçu
1F,29/01/14,Friburguense,0-2,Flamengo
1F,29/01/14,Macaé,0-1,Volta Redonda
1F,29/01/14,Audax Rio,0-4,Vasco
1F,29/01/14,Fluminense,1-0,Resende
1F,30/01/14,Duque de Caxias,1-1,Bonsucesso
1F,30/01/14,Boavista-RJ,1-0,Cabofriense
1F,01/02/14,Madureira,3-0,Audax Rio
1F,01/02/14,Volta Redonda,1-1,Friburguense
1F,01/02/14,Bangu,0-1,Fluminense
1F,02/02/14,Bonsucesso,0-2,Nova Iguaçu
1F,02/02/14,Flamengo,5-2,Macaé
1F,02/02/14,Resende,3-3,Boavista-RJ
1F,02/02/14,Cabofriense,2-1,Duque de Caxias
1F,02/02/14,Vasco,1-0,Botafogo
1F,04/02/14,Fluminense,3-1,Audax Rio
1F,05/02/14,Boavista-RJ,2-5,Flamengo
1F,05/02/14,Duque de Caxias,0-3,Madureira
1F,05/02/14,Macaé,2-2,Friburguense
1F,05/02/14,Cabofriense,3-2,Bangu
