Rodada,Data,Time da Casa,Placar,Time Visitante
A,01/07/95,Esportivo,0-2,Internacional
A,01/07/95,Ypiranga-RS,2-1,Juventude
B,01/07/95,Grêmio,6-1,Atlético-RS
B,01/07/95,Brasil de Farroupilha,2-0,São Luiz
A,05/07/95,Internacional,3-1,Ypiranga-RS
A,05/07/95,Juventude,3-0,Esportivo
B,05/07/95,São Luiz,1-2,Grêmio
B,05/07/95,Atlético-RS,0-0,Brasil de Farroupilha
B,08/07/95,Brasil de Farroupilha,0-0,Grêmio
A,09/07/95,Internacional,0-2,Juventude
A,09/07/95,Esportivo,0-0,Ypiranga-RS
B,09/07/95,São Luiz,2-0,Atlético-RS
A,12/07/95,Juventude,0-0,Internacional
A,12/07/95,Ypiranga-RS,1-0,Esportivo
B,12/07/95,Grêmio,1-0,Brasil de Farroupilha
B,12/07/95,Atlético-RS,0-0,São Luiz
B,15/07/95,Atlético-RS,0-1,Grêmio
A,16/07/95,Internacional,4-0,Esportivo
A,16/07/95,Juventude,3-2,Ypiranga-RS
B,16/07/95,São Luiz,1-0,Brasil de Farroupilha
A,19/07/95,Ypiranga-RS,1-0,Internacional
A,19/07/95,Esportivo,1-0,Juventude
B,19/07/95,Brasil de Farroupilha,0-1,Atlético-RS
B,19/07/95,Grêmio,3-3,São Luiz
SF,22/07/95,São Luiz,1-5,Internacional
SF,22/07/95,Juventude,2-1,Grêmio
SF,30/07/95,Internacional,4-0,São Luiz
SF,30/07/95,Grêmio,2-0,Juventude
F,06/08/95,Internacional,1-1,Grêmio
F,13/08/95,Grêmio,2-1,Internacional
