Rodada,Data,Time da Casa,Placar,Time Visitante
1F,17/01/24,Goianésia,1-0,Anápolis
1F,17/01/24,Aparecidense,1-1,Iporá
1F,17/01/24,Vila Nova,2-0,Goiatuba EC
1F,17/01/24,Jataiense,2-1,CRAC
1F,18/01/24,Goiás,1-0,Goiânia
1F,18/01/24,Morrinhos,0-1,Atlético Goianiense
1F,20/01/24,Iporá,1-1,Goianésia
1F,20/01/24,Anápolis,1-0,Vila Nova
1F,21/01/24,Atlético Goianiense,0-0,Goiás
1F,21/01/24,CRAC,0-0,Aparecidense
1F,21/01/24,Goiânia,4-1,Jataiense
1F,21/01/24,Goiatuba EC,1-0,Morrinhos
1F,24/01/24,Aparecidense,2-1,Atlético Goianiense
1F,24/01/24,CRAC,0-1,Vila Nova
1F,24/01/24,Goiás,1-0,Anápolis
1F,24/01/24,Morrinhos,1-1,Goiânia
1F,24/01/24,Jataiense,1-0,Iporá
1F,25/01/24,Goianésia,1-1,Goiatuba EC
1F,27/01/24,Goiânia,2-1,Iporá
1F,27/01/24,Aparecidense,1-1,Goiás
1F,28/01/24,Anápolis,0-0,CRAC
1F,28/01/24,Morrinhos,0-1,Goianésia
1F,28/01/24,Goiatuba EC,1-0,Jataiense
1F,28/01/24,Vila Nova,2-1,Atlético Goianiense
1F,31/01/24,Iporá,1-0,Morrinhos
1F,31/01/24,CRAC,0-2,Goiás
1F,31/01/24,Goianésia,0-1,Jataiense
1F,31/01/24,Vila Nova,3-1,Aparecidense
1F,31/01/24,Goiatuba EC,1-1,Goiânia
1F,01/02/24,Atlético Goianiense,2-1,Anápolis
1F,03/02/24,Goiânia,1-0,Goianésia
1F,04/02/24,Anápolis,4-0,Aparecidense
1F,04/02/24,Jataiense,2-2,Morrinhos
1F,04/02/24,CRAC,0-1,Goiatuba EC
1F,04/02/24,Goiás,0-0,Vila Nova
1F,05/02/24,Atlético Goianiense,3-0,Iporá
1F,07/02/24,Morrinhos,0-3,Goiás
1F,07/02/24,Aparecidense,1-1,Goianésia
1F,07/02/24,Vila Nova,1-0,Jataiense
1F,07/02/24,Anápolis,1-0,Goiânia
1F,08/02/24,Iporá,1-3,Goiatuba EC
1F,09/02/24,Atlético Goianiense,1-0,CRAC
1F,10/02/24,Aparecidense,3-1,Morrinhos
1F,10/02/24,Goianésia,0-0,Vila Nova
1F,10/02/24,Goiás,4-1,Jataiense
1F,11/02/24,Goiatuba EC,0-0,Anápolis
1F,12/02/24,Goiânia,1-3,Atlético Goianiense
1F,12/02/24,Iporá,1-3,CRAC
1F,14/02/24,Goiás,3-0,Goianésia
1F,14/02/24,Jataiense,1-4,Aparecidense
1F,15/02/24,Atlético Goianiense,6-0,Goiatuba EC
1F,15/02/24,Vila Nova,3-0,Morrinhos
1F,15/02/24,Anápolis,4-0,Iporá
1F,15/02/24,CRAC,0-0,Goiânia
1F,18/02/24,Morrinhos,2-1,Anápolis
1F,18/02/24,Aparecidense,1-1,Goiatuba EC
1F,18/02/24,Goianésia,1-0,CRAC
1F,18/02/24,Goiás,1-0,Iporá
1F,18/02/24,Jataiense,0-2,Atlético Goianiense
1F,19/02/24,Vila Nova,2-1,Goiânia
1F,24/02/24,Iporá,1-3,Vila Nova
1F,24/02/24,CRAC,2-1,Morrinhos
1F,25/02/24,Anápolis,4-0,Jataiense
1F,25/02/24,Atlético Goianiense,5-1,Goianésia
1F,25/02/24,Goiânia,0-1,Aparecidense
1F,25/02/24,Goiatuba EC,1-2,Goiás
QF,02/03/24,Goiatuba EC,0-3,Atlético Goianiense
QF,02/03/24,Goiânia,0-0,Goiás
QF,03/03/24,Aparecidense,3-0,Anápolis
QF,03/03/24,Goianésia,2-2,Vila Nova
QF,09/03/24,Vila Nova,1-0,Goianésia
QF,10/03/24,Anápolis,1-0,Aparecidense
QF,10/03/24,Goiás,1-1(2-3 Pen.),Goiânia
QF,11/03/24,Atlético Goianiense,5-0,Goiatuba EC
SF,16/03/24,Aparecidense,2-0,Vila Nova
SF,17/03/24,Goiânia,2-3,Atlético Goianiense
SF,26/03/24,Atlético Goianiense,3-1,Goiânia
SF,27/03/24,Vila Nova,3-0,Aparecidense
F,31/03/24,Vila Nova,0-2,Atlético Goianiense
F,07/04/24,Atlético Goianiense,3-1,Vila Nova
