Rodada,Data,Time da Casa,Placar,Time Visitante
1F,18/01/06,Villa Nova-MG,1-3,Ituiutaba
1F,22/01/06,Ituiutaba,2-3,América Mineiro
1F,22/01/06,Atlético Mineiro,2-1,Caldense
1F,22/01/06,URT,2-2,Democrata-SL
1F,22/01/06,Villa Nova-MG,0-2,Guarani-MG
1F,22/01/06,Ipatinga,3-0,Uberlândia
1F,22/01/06,Democrata-GV,0-1,Cruzeiro
1F,28/01/06,Democrata-SL,3-0,Atlético Mineiro
1F,29/01/06,Cruzeiro,0-0,Ipatinga
1F,29/01/06,Guarani-MG,2-2,Democrata-GV
1F,29/01/06,Uberlândia,2-1,URT
1F,29/01/06,América Mineiro,1-1,Villa Nova-MG
1F,29/01/06,Caldense,2-0,Ituiutaba
1F,01/02/06,Ituiutaba,3-0,Uberlândia
1F,01/02/06,Ipatinga,0-0,Atlético Mineiro
1F,01/02/06,América Mineiro,3-0,Caldense
1F,01/02/06,URT,1-2,Guarani-MG
1F,01/02/06,Villa Nova-MG,3-1,Democrata-GV
1F,01/02/06,Cruzeiro,5-2,Democrata-SL
1F,05/02/06,Atlético Mineiro,1-1,Cruzeiro
1F,05/02/06,Democrata-SL,1-1,América Mineiro
1F,05/02/06,Democrata-GV,0-1,Ipatinga
1F,05/02/06,Guarani-MG,1-2,Ituiutaba
1F,05/02/06,URT,0-0,Villa Nova-MG
1F,05/02/06,Uberlândia,0-1,Caldense
1F,08/02/06,Ituiutaba,1-0,URT
1F,08/02/06,Cruzeiro,2-0,Villa Nova-MG
1F,08/02/06,Caldense,2-1,Guarani-MG
1F,08/02/06,Ipatinga,1-1,América Mineiro
1F,08/02/06,Uberlândia,1-4,Democrata-SL
1F,08/02/06,Atlético Mineiro,1-1,Democrata-GV
1F,11/02/06,Guarani-MG,0-3,Cruzeiro
1F,12/02/06,Ituiutaba,2-3,Ipatinga
1F,12/02/06,América Mineiro,0-1,Atlético Mineiro
1F,12/02/06,Democrata-GV,2-1,Uberlândia
1F,12/02/06,URT,1-2,Caldense
1F,12/02/06,Villa Nova-MG,4-2,Democrata-SL
1F,15/02/06,Democrata-SL,2-0,Caldense
1F,16/02/06,Cruzeiro,2-0,Uberlândia
1F,16/02/06,Ipatinga,2-1,Villa Nova-MG
1F,19/02/06,Cruzeiro,1-1,América Mineiro
1F,19/02/06,Democrata-SL,2-1,Democrata-GV
1F,19/02/06,Uberlândia,1-0,Guarani-MG
1F,19/02/06,Caldense,1-1,Ipatinga
1F,19/02/06,URT,2-3,Atlético Mineiro
1F,25/02/06,América Mineiro,1-0,Uberlândia
1F,25/02/06,Guarani-MG,2-1,Democrata-SL
1F,25/02/06,Ipatinga,4-0,URT
1F,25/02/06,Ituiutaba,2-1,Democrata-GV
1F,25/02/06,Villa Nova-MG,0-1,Atlético Mineiro
1F,25/02/06,Caldense,0-2,Cruzeiro
1F,01/03/06,Atlético Mineiro,3-1,Guarani-MG
1F,04/03/06,URT,3-2,América Mineiro
1F,05/03/06,Ipatinga,1-0,Democrata-SL
1F,05/03/06,Ituiutaba,1-0,Cruzeiro
1F,05/03/06,Villa Nova-MG,4-2,Uberlândia
1F,05/03/06,Democrata-GV,4-3,Caldense
1F,08/03/06,América Mineiro,4-1,Guarani-MG
1F,08/03/06,Democrata-GV,5-2,URT
1F,08/03/06,Atlético Mineiro,3-0,Ituiutaba
1F,12/03/06,América Mineiro,3-1,Democrata-GV
1F,12/03/06,Caldense,2-1,Villa Nova-MG
1F,12/03/06,Cruzeiro,2-0,URT
1F,12/03/06,Democrata-SL,4-2,Ituiutaba
1F,12/03/06,Guarani-MG,3-4,Ipatinga
1F,12/03/06,Uberlândia,2-2,Atlético Mineiro
SF,19/03/06,Atlético Mineiro,2-2,Cruzeiro
SF,19/03/06,América Mineiro,2-3,Ipatinga
SF,26/03/06,Cruzeiro,2-0,Atlético Mineiro
SF,26/03/06,Ipatinga,3-1,América Mineiro
F,29/03/06,Cruzeiro,1-1,Ipatinga
F,02/04/06,Ipatinga,0-1,Cruzeiro
