Rodada,Data,Time da Casa,Placar,Time Visitante
1T,12/01/14,Campinense,1-1,Santa Cruz-PB
1T,12/01/14,Sousa,2-2,CSP
1T,12/01/14,Atlético-PB,0-1,Auto Esporte
1T,13/01/14,Queimadense,0-0,Sport Lagoa Seca
1T,15/01/14,Sousa,2-0,Auto Esporte
1T,15/01/14,Atlético-PB,1-1,CSP
1T,15/01/14,Queimadense,0-2,Santa Cruz-PB
1T,16/01/14,Campinense,6-1,Sport Lagoa Seca
1T,18/01/14,Santa Cruz-PB,1-2,Auto Esporte
1T,19/01/14,Sport Lagoa Seca,1-3,Sousa
1T,19/01/14,Atlético-PB,0-1,Campinense
1T,20/01/14,CSP,2-0,Queimadense
1T,22/01/14,Sousa,0-0,Campinense
1T,22/01/14,Sport Lagoa Seca,1-2,Atlético-PB
1T,22/01/14,Santa Cruz-PB,1-3,CSP
1T,23/01/14,Auto Esporte,2-0,Queimadense
1T,25/01/14,Auto Esporte,1-2,CSP
1T,26/01/14,Sousa,3-2,Atlético-PB
1T,26/01/14,Queimadense,0-0,Campinense
1T,26/01/14,Sport Lagoa Seca,0-2,Santa Cruz-PB
1T,28/01/14,Campinense,3-1,CSP
1T,29/01/14,Sousa,2-0,Santa Cruz-PB
1T,29/01/14,Sport Lagoa Seca,1-3,Auto Esporte
1T,29/01/14,Atlético-PB,0-0,Queimadense
1T,02/02/14,Queimadense,1-1,Sousa
1T,02/02/14,Atlético-PB,3-3,Santa Cruz-PB
1T,02/02/14,Campinense,2-1,Auto Esporte
1T,03/02/14,CSP,4-2,Sport Lagoa Seca
1T,05/02/14,Queimadense,1-2,Atlético-PB
1T,09/02/14,Sousa,0-0,Queimadense
1T,09/02/14,Sport Lagoa Seca,0-9,CSP
1T,12/02/14,Santa Cruz-PB,0-1,Sousa
1T,16/02/14,CSP,1-1,Campinense
1T,16/02/14,Auto Esporte,4-1,Sport Lagoa Seca
1T,19/02/14,CSP,2-1,Santa Cruz-PB
1T,19/02/14,Atlético-PB,4-2,Sport Lagoa Seca
1T,20/02/14,Queimadense,1-3,Auto Esporte
1T,20/02/14,Campinense,0-0,Sousa
1T,22/02/14,Queimadense,2-2,CSP
1T,23/02/14,Sousa,3-0,Sport Lagoa Seca
1T,23/02/14,Campinense,5-1,Atlético-PB
1T,27/02/14,CSP,0-0,Sousa
1T,01/03/14,Santa Cruz-PB,0-1,Atlético-PB
1T,01/03/14,Auto Esporte,1-0,Campinense
1T,05/03/14,Sport Lagoa Seca,0-2,Queimadense
1T,06/03/14,Auto Esporte,1-0,Atlético-PB
1T,06/03/14,Santa Cruz-PB,1-0,Campinense
1T,09/03/14,CSP,3-1,Atlético-PB
1T,09/03/14,Santa Cruz-PB,1-1,Queimadense
1T,09/03/14,Sport Lagoa Seca,1-6,Campinense
1T,09/03/14,Auto Esporte,1-1,Sousa
1T,12/03/14,Auto Esporte,3-1,Santa Cruz-PB
1T,16/03/14,Santa Cruz-PB,6-0,Sport Lagoa Seca
1T,16/03/14,Atlético-PB,1-3,Sousa
1T,16/03/14,Campinense,2-1,Queimadense
1T,16/03/14,CSP,2-0,Auto Esporte
2T,19/03/14,Santa Cruz-PB,0-2,Sousa
2T,19/03/14,CSP,1-2,Treze
2T,19/03/14,Campinense,2-1,Auto Esporte
2T,19/03/14,Atlético-PB,1-0,Botafogo-PB
2T,22/03/14,Campinense,0-0,Sousa
2T,23/03/14,CSP,0-1,Botafogo-PB
2T,23/03/14,Treze,4-0,Santa Cruz-PB
2T,23/03/14,Atlético-PB,2-1,Auto Esporte
2T,26/03/14,Auto Esporte,1-3,CSP
2T,26/03/14,Campinense,1-0,Atlético-PB
2T,26/03/14,Sousa,2-1,Treze
2T,27/03/14,Santa Cruz-PB,2-3,Botafogo-PB
2T,30/03/14,Santa Cruz-PB,5-1,Atlético-PB
2T,30/03/14,Sousa,3-2,Auto Esporte
2T,30/03/14,Treze,1-0,Botafogo-PB
2T,30/03/14,CSP,0-0,Campinense
2T,02/04/14,Campinense,3-0,Santa Cruz-PB
2T,02/04/14,Atlético-PB,2-1,CSP
2T,06/04/14,Botafogo-PB,3-2,Auto Esporte
2T,06/04/14,Treze,1-1,Campinense
2T,06/04/14,Atlético-PB,3-1,Sousa
2T,07/04/14,Santa Cruz-PB,3-1,CSP
2T,09/04/14,Auto Esporte,0-0,Santa Cruz-PB
2T,09/04/14,CSP,0-1,Sousa
2T,10/04/14,Botafogo-PB,1-0,Campinense
2T,12/04/14,CSP,4-3,Santa Cruz-PB
2T,13/04/14,Campinense,2-1,Treze
2T,13/04/14,Sousa,3-3,Atlético-PB
2T,13/04/14,Auto Esporte,1-0,Botafogo-PB
2T,16/04/14,Sousa,1-0,CSP
2T,16/04/14,Atlético-PB,1-1,Treze
2T,20/04/14,Santa Cruz-PB,0-2,Campinense
2T,20/04/14,Sousa,2-2,Botafogo-PB
2T,20/04/14,CSP,3-1,Atlético-PB
2T,20/04/14,Treze,1-1,Auto Esporte
2T,23/04/14,Atlético-PB,1-4,Campinense
2T,23/04/14,Treze,2-0,Sousa
2T,24/04/14,CSP,0-0,Auto Esporte
2T,24/04/14,Botafogo-PB,4-1,Santa Cruz-PB
2T,27/04/14,Campinense,4-1,CSP
2T,27/04/14,Atlético-PB,4-1,Santa Cruz-PB
2T,28/04/14,Auto Esporte,2-2,Sousa
2T,30/04/14,Botafogo-PB,5-0,CSP
2T,01/05/14,Auto Esporte,2-0,Atlético-PB
2T,01/05/14,Sousa,3-1,Campinense
2T,04/05/14,Santa Cruz-PB,2-5,Auto Esporte
2T,07/05/14,Sousa,4-1,Santa Cruz-PB
2T,07/05/14,Botafogo-PB,2-1,Atlético-PB
2T,14/05/14,Treze,4-1,Atlético-PB
2T,22/05/14,Auto Esporte,1-0,Treze
2T,28/05/14,Botafogo-PB,0-0,Treze
2T,04/06/14,Botafogo-PB,3-1,Sousa
2T,05/06/14,Santa Cruz-PB,0-3,Treze
2T,08/06/14,Campinense,2-2,Botafogo-PB
2T,11/06/14,Treze,1-4,CSP
2T,11/06/14,Auto Esporte,0-1,Campinense
SF,15/06/14,Botafogo-PB,2-1,CSP
SF,15/06/14,Campinense,2-0,Auto Esporte
SF,18/06/14,CSP,1-3,Botafogo-PB
SF,19/06/14,Auto Esporte,2-1,Campinense
F,25/06/14,Botafogo-PB,3-0,Campinense
F,29/06/14,Campinense,0-0,Botafogo-PB
