Rodada,Data,Time da Casa,Placar,Time Visitante
A,18/01/14,Paulista,0-0,Osasco Audax
A,18/01/14,Palmeiras,2-1,Linense
A,18/01/14,Santos,1-0,XV de Piracicaba
A,18/01/14,São Bernardo,1-0,Botafogo-SP
A,18/01/14,Rio Claro,1-0,Atlético Sorocaba
A,18/01/14,Mogi Mirim,2-1,Comercial
A,19/01/14,Portuguesa,1-2,Corinthians
A,19/01/14,Bragantino,2-0,São Paulo
A,19/01/14,Oeste,1-0,Penapolense
A,21/01/14,Osasco Audax,1-1,Santos
A,21/01/14,Linense,0-0,Rio Claro
A,22/01/14,Ituano,0-0,Portuguesa
A,22/01/14,Atlético Sorocaba,1-1,Oeste
A,22/01/14,Botafogo-SP,1-0,Ponte Preta
A,22/01/14,XV de Piracicaba,1-2,São Bernardo
A,22/01/14,Penapolense,0-2,Bragantino
A,22/01/14,Corinthians,1-0,Paulista
A,22/01/14,São Paulo,4-0,Mogi Mirim
A,23/01/14,Comercial,0-2,Palmeiras
A,25/01/14,Rio Claro,0-1,Penapolense
A,25/01/14,XV de Piracicaba,1-0,Portuguesa
A,25/01/14,Ponte Preta,1-0,Osasco Audax
A,25/01/14,Botafogo-SP,4-2,Paulista
A,25/01/14,Corinthians,0-1,São Bernardo
A,26/01/14,São Paulo,2-1,Oeste
A,26/01/14,Atlético Sorocaba,1-4,Palmeiras
A,26/01/14,Bragantino,1-3,Comercial
A,26/01/14,Linense,1-2,Mogi Mirim
A,26/01/14,Ituano,0-1,Santos
A,28/01/14,São Bernardo,0-1,Osasco Audax
A,29/01/14,Paulista,2-3,Ituano
A,29/01/14,Mogi Mirim,3-3,Atlético Sorocaba
A,29/01/14,Portuguesa,1-2,Botafogo-SP
A,29/01/14,Linense,1-0,Bragantino
A,29/01/14,Oeste,1-1,Comercial
A,29/01/14,Santos,5-1,Corinthians
A,29/01/14,São Paulo,6-3,Rio Claro
A,30/01/14,Palmeiras,1-0,Penapolense
A,30/01/14,XV de Piracicaba,4-1,Ponte Preta
A,01/02/14,Ituano,0-0,São Bernardo
A,01/02/14,Oeste,0-1,Linense
A,01/02/14,Comercial,1-2,Rio Claro
A,01/02/14,Santos,5-1,Botafogo-SP
A,01/02/14,Bragantino,2-0,Atlético Sorocaba
A,02/02/14,Osasco Audax,4-2,Portuguesa
A,02/02/14,Palmeiras,2-0,São Paulo
A,02/02/14,Ponte Preta,2-1,Corinthians
A,02/02/14,Paulista,0-0,XV de Piracicaba
A,02/02/14,Penapolense,2-1,Mogi Mirim
A,04/02/14,Rio Claro,1-1,Ituano
A,04/02/14,Botafogo-SP,3-1,Oeste
A,05/02/14,Atlético Sorocaba,1-3,Portuguesa
A,05/02/14,Comercial,0-1,Ponte Preta
A,05/02/14,XV de Piracicaba,1-2,Palmeiras
A,05/02/14,Corinthians,0-2,Bragantino
A,06/02/14,São Paulo,2-0,Paulista
A,06/02/14,Penapolense,1-0,São Bernardo
A,06/02/14,Mogi Mirim,3-1,Osasco Audax
