Rodada,Data,Time da Casa,Placar,Time Visitante
1F,22/01/22,Náutico,3-0,Íbis
1F,23/01/22,Vera Cruz-PE,1-2,Retrô FC
1F,23/01/22,Salgueiro,2-2,Caruaru City
1F,26/01/22,Sport,7-0,Sete de Setembro-PE
1F,29/01/22,Caruaru City,1-2,Santa Cruz
1F,29/01/22,Afogados da Ingazeira,2-2,Vera Cruz-PE
1F,30/01/22,Íbis,2-1,Salgueiro
1F,01/02/22,Sete de Setembro-PE,0-3,Náutico
1F,02/02/22,Retrô FC,2-1,Sport
1F,03/02/22,Santa Cruz,5-2,Afogados da Ingazeira
1F,05/02/22,Sport,3-1,Vera Cruz-PE
1F,06/02/22,Santa Cruz,3-0,Íbis
1F,06/02/22,Salgueiro,4-0,Sete de Setembro-PE
1F,09/02/22,Salgueiro,2-1,Santa Cruz
1F,09/02/22,Íbis,1-1,Afogados da Ingazeira
1F,09/02/22,Náutico,1-2,Retrô FC
1F,10/02/22,Sport,1-1,Caruaru City
1F,12/02/22,Sete de Setembro-PE,1-3,Santa Cruz
1F,13/02/22,Sport,1-1,Afogados da Ingazeira
1F,16/02/22,Retrô FC,4-0,Sete de Setembro-PE
1F,16/02/22,Caruaru City,1-0,Íbis
1F,17/02/22,Vera Cruz-PE,1-2,Náutico
1F,17/02/22,Afogados da Ingazeira,1-2,Salgueiro
1F,19/02/22,Sport,2-2,Santa Cruz
1F,20/02/22,Caruaru City,2-1,Retrô FC
1F,22/02/22,Sete de Setembro-PE,1-3,Vera Cruz-PE
1F,23/02/22,Afogados da Ingazeira,2-1,Caruaru City
1F,27/02/22,Íbis,0-1,Sete de Setembro-PE
1F,27/02/22,Santa Cruz,0-4,Retrô FC
1F,27/02/22,Afogados da Ingazeira,2-2,Náutico
1F,02/03/22,Náutico,1-0,Salgueiro
1F,02/03/22,Vera Cruz-PE,1-1,Íbis
1F,03/03/22,Retrô FC,3-0,Afogados da Ingazeira
1F,03/03/22,Sete de Setembro-PE,0-3,Caruaru City
1F,05/03/22,Santa Cruz,2-1,Vera Cruz-PE
1F,08/03/22,Salgueiro,1-1,Sport
1F,09/03/22,Retrô FC,1-0,Íbis
1F,09/03/22,Náutico,1-0,Caruaru City
1F,12/03/22,Vera Cruz-PE,1-2,Salgueiro
1F,12/03/22,Náutico,1-2,Sport
1F,16/03/22,Salgueiro,2-2,Retrô FC
1F,16/03/22,Íbis,0-4,Sport
1F,16/03/22,Afogados da Ingazeira,2-1,Sete de Setembro-PE
1F,16/03/22,Santa Cruz,1-1,Náutico
1F,16/03/22,Caruaru City,3-3,Vera Cruz-PE
QF,19/03/22,Santa Cruz,3-0,Caruaru City
,20/03/22,Íbis,0-0,Sete de Setembro-PE
,20/03/22,Afogados da Ingazeira,3-0,Vera Cruz-PE
,23/03/22,Vera Cruz-PE,1-3,Íbis
,23/03/22,Sete de Setembro-PE,1-1,Afogados da Ingazeira
,27/03/22,Vera Cruz-PE,2-2,Sete de Setembro-PE
,27/03/22,Afogados da Ingazeira,1-1,Íbis
SF,02/04/22,Náutico,0-0(4-3 Pen.),Santa Cruz
QF,06/04/22,Sport,2-2(2-4 Pen.),Salgueiro
SF,13/04/22,Retrô FC,1-0,Salgueiro
F,21/04/22,Náutico,0-1,Retrô FC
F,30/04/22,Retrô FC,0-1(2-4 Pen.),Náutico
