Rodada,Data,Time da Casa,Placar,Time Visitante
1,07/05/10,ASA,1-1,Ponte Preta
1,07/05/10,Bahia,1-0,América-RN
1,07/05/10,América-MG,0-0,Bragantino
1,07/05/10,Portuguesa,4-1,Vila Nova
1,08/05/10,Paraná,3-0,Ipatinga
1,08/05/10,Icasa,1-2,Santo André
1,08/05/10,Brasiliense,2-1,Sport
1,08/05/10,São Caetano,0-1,Figueirense
1,08/05/10,Náutico,3-1,Coritiba
1,08/05/10,Americana,3-1,Duque de Caxias
2,11/05/10,Sport,1-1,Americana
2,11/05/10,Santo André,1-1,Brasiliense
2,14/05/10,Vila Nova,1-0,Icasa
2,14/05/10,Coritiba,1-1,América-MG
2,14/05/10,Figueirense,2-1,Portuguesa
2,15/05/10,Bragantino,2-1,ASA
2,15/05/10,Duque de Caxias,1-2,Náutico
2,15/05/10,Ipatinga,1-2,Bahia
2,15/05/10,Ponte Preta,1-0,Paraná
2,15/05/10,América-RN,3-3,São Caetano
3,18/05/10,Paraná,3-0,Santo André
3,18/05/10,Portuguesa,2-2,Coritiba
3,21/05/10,Americana,2-1,Vila Nova
3,21/05/10,Bahia,1-1,Ponte Preta
3,21/05/10,Náutico,1-1,Bragantino
3,22/05/10,Icasa,2-2,América-RN
3,22/05/10,ASA,4-1,Sport
3,22/05/10,América-MG,1-0,Figueirense
3,22/05/10,São Caetano,2-1,Ipatinga
3,22/10/10,Brasiliense,2-0,Duque de Caxias
4,25/05/10,Ipatinga,1-2,ASA
4,25/05/10,Duque de Caxias,1-5,Paraná
4,25/05/10,Bragantino,1-1,São Caetano
4,25/05/10,Figueirense,1-2,Náutico
4,25/05/10,Ponte Preta,1-1,Americana
4,25/05/10,Coritiba,2-1,Brasiliense
4,25/05/10,Santo André,3-4,Portuguesa
4,25/05/10,América-RN,0-2,América-MG
4,25/05/10,Sport,1-2,Icasa
4,25/05/10,Vila Nova,0-4,Bahia
5,28/05/10,Paraná,1-0,Vila Nova
5,28/05/10,ASA,1-2,Coritiba
5,28/05/10,Portuguesa,2-0,Bragantino
5,28/05/10,Náutico,2-2,América-RN
5,29/05/10,Icasa,3-1,Duque de Caxias
5,29/05/10,Americana,3-1,Santo André
5,29/05/10,Bahia,2-0,Sport
5,29/05/10,São Caetano,3-1,Ponte Preta
5,29/05/10,Brasiliense,1-1,Figueirense
5,29/05/10,América-MG,4-0,Ipatinga
6,01/06/10,Icasa,4-0,Bahia
6,01/06/10,Vila Nova,0-3,Santo André
6,01/06/10,Portuguesa,1-0,América-MG
6,01/06/10,São Caetano,5-0,Náutico
6,01/06/10,Coritiba,2-1,Ponte Preta
6,01/06/10,Sport,1-0,Paraná
6,01/06/10,Ipatinga,3-0,Americana
6,01/06/10,Duque de Caxias,0-1,América-RN
6,01/06/10,Bragantino,2-2,Brasiliense
6,01/06/10,Figueirense,6-0,ASA
7,03/06/10,Paraná,2-1,Portuguesa
7,03/06/10,Bahia,0-1,Duque de Caxias
7,03/06/10,Brasiliense,1-1,São Caetano
7,03/06/10,Americana,2-2,Bragantino
7,05/06/10,Náutico,2-0,Ipatinga
7,05/06/10,América-MG,2-0,Vila Nova
