Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
R1,1,05/02/19,River-PI,0-5,Fluminense
R1,1,06/02/19,Votuporanguense,0-1,Ypiranga-RS
R1,1,06/02/19,Altos,1-7,Santos
R1,1,06/02/19,Foz do Iguaçu,1-0,Boa Esporte
R1,1,06/02/19,Sobradinho,0-0,América-RN
R1,1,06/02/19,Santa Cruz-RN,1-0,Tupi
R1,1,06/02/19,Itabaiana,2-5,Paraná
R1,1,06/02/19,Mixto,1-0,CSA
R1,1,06/02/19,Palmas,0-1,Juventude
R1,1,06/02/19,Atlético Cearense,2-0,Joinville
R1,1,06/02/19,Juazeirense,2-2,Vasco
R1,1,06/02/19,Corumbaense,0-0,Luverdense
R1,1,06/02/19,Central,1-1,Ceará
R1,1,07/02/19,Americano,1-2,Londrina
R1,1,07/02/19,Ferroviário,2-2,Corinthians
R1,1,12/02/19,Imperatriz,1-1,Náutico
R1,1,13/02/19,Bragantino-PA,1-0,ASA
R1,1,13/02/19,Brasiliense,0-0,CRB
R1,1,13/02/19,São José-RS,0-0,Chapecoense
R1,1,13/02/19,São Raimundo-PA,0-2,Criciúma
R1,1,13/02/19,Serra,1-0,Remo
R1,1,13/02/19,Avenida,1-0,Guarani
R1,1,13/02/19,Boavista-RJ,1-2,Figueirense
R1,1,13/02/19,Sergipe,0-2,Goiás
R1,1,13/02/19,Real Ariquemes,1-4,Avaí
R1,1,13/02/19,Galvez EC,0-1,ABC
R1,1,13/02/19,Brusque,1-1,Atlético Goianiense
R1,1,13/02/19,São Raimundo-RR,0-0,América Mineiro
R1,1,13/02/19,Ypiranga-AP,0-1,Cuiabá
R1,1,13/02/19,Operário-MS,1-4,Botafogo-PB
R1,1,13/02/19,Campinense,0-2,Botafogo
R1,1,13/02/19,Tombense,3-0,Sport
R1,1,13/02/19,Moto Club,2-0,Vitória
R1,1,13/02/19,Manaus FC,1-1,Vila Nova
R1,1,13/02/19,Rio Branco-AC,2-2,Bahia
R1,1,14/02/19,Atlético Tubarão,0-0,GE Brasil
R1,1,14/02/19,URT,3-2,Coritiba
R1,1,14/02/19,Sinop,1-2,Santa Cruz
R1,1,14/02/19,Fast Clube,1-6,Oeste
R1,1,03/04/19,Aparecidense,2-0,Ponte Preta
R2,1,19/02/19,Londrina,1-1,Paraná
R2,1,20/02/19,Luverdense,1-0,Figueirense
R2,1,20/02/19,Santa Cruz,1-1,Náutico
R2,1,20/02/19,Corinthians,4-2,Avenida
R2,1,20/02/19,Serra,0-2,Vasco
R2,1,21/02/19,Criciúma,0-0,Oeste
R2,1,21/02/19,Goiás,1-1,CRB
R2,1,26/02/19,Atlético Cearense,0-4,Atlético Goianiense
R2,1,27/02/19,Foz do Iguaçu,0-0,Ceará
R2,1,27/02/19,URT,2-2,Vila Nova
R2,1,27/02/19,Botafogo,3-0,Cuiabá
R2,1,28/02/19,Tombense,2-2,Botafogo-PB
R2,1,28/02/19,Juventude,2-1,América Mineiro
R2,1,06/03/19,Santa Cruz de Natal,0-1,Bahia
R2,1,06/03/19,Fluminense,3-0,Ypiranga-RS
R2,1,06/03/19,Mixto,1-2,Chapecoense
R2,1,07/03/19,Avaí,2-0,GE Brasil
R2,1,07/03/19,ABC,2-2,Moto Club
R2,1,07/03/19,Santos,4-0,América-RN
R2,1,10/04/19,Bragantino-PA,3-2,Aparecidense
R3,1,13/03/19,Botafogo-PB,0-2,Londrina
R3,1,13/03/19,Ceará,1-3,Corinthians
R3,1,14/03/19,Vasco,3-2,Avaí
R3,1,27/03/19,Chapecoense,3-2,Criciúma
R3,1,02/04/19,CRB,1-1,Bahia
R3,1,03/04/19,Luverdense,0-0,Fluminense
R3,2,03/04/19,Corinthians,0-1,Ceará
R3,1,03/04/19,ABC,1-0,Santa Cruz
R3,1,04/04/19,Atlético Goianiense,1-0,Santos
R3,1,04/04/19,Botafogo,1-1,Juventude
R3,2,09/04/19,Bahia,1-0,CRB
R3,2,10/04/19,Fluminense,2-0,Luverdense
R3,2,10/04/19,Criciúma,0-2,Chapecoense
R3,2,10/04/19,Avaí,0-1,Vasco
R3,2,10/04/19,Santa Cruz,3-0,ABC
R3,2,11/04/19,Juventude,2-1,Botafogo
R3,2,11/04/19,Santos,3-0,Atlético Goianiense
R3,1,16/04/19,Vila Nova,2-0,Bragantino-PA
R3,2,20/04/19,Londrina,3-3,Botafogo-PB
R3,2,20/04/19,Bragantino-PA,2-1,Vila Nova
R4,1,17/04/19,Santos,2-0,Vasco
R4,1,17/04/19,Chapecoense,1-0,Corinthians
R4,1,17/04/19,Fluminense,2-0,Santa Cruz
R4,1,18/04/19,Bahia,4-0,Londrina
R4,1,24/04/19,Juventude,0-0,Vila Nova
R4,2,24/04/19,Vasco,2-1,Santos
R4,2,24/04/19,Corinthians,2-0,Chapecoense
R4,2,25/04/19,Londrina,2-1,Bahia
R4,2,25/04/19,Santa Cruz,2-0,Fluminense
R4,2,07/05/19,Vila Nova,0-0,Juventude
O,1,15/05/19,Atlético Mineiro,0-0,Santos
O,1,15/05/19,Fluminense,1-1,Cruzeiro
O,1,15/05/19,Corinthians,0-1,Flamengo
O,1,16/05/19,Fortaleza,0-0,Athletico Paranaense
O,1,22/05/19,Sampaio Corrêa,0-1,Palmeiras
O,1,22/05/19,São Paulo,0-1,Bahia
O,1,22/05/19,Juventude,0-0,Grêmio
O,1,23/05/19,Internacional,3-1,Paysandu
O,2,29/05/19,Paysandu,0-1,Internacional
O,2,29/05/19,Bahia,1-0,São Paulo
O,2,29/05/19,Grêmio,3-0,Juventude
O,2,30/05/19,Palmeiras,2-0,Sampaio Corrêa
O,2,04/06/19,Flamengo,1-0,Corinthians
O,2,05/06/19,Cruzeiro,2-2,Fluminense
O,2,05/06/19,Athletico Paranaense,1-0,Fortaleza
O,2,06/06/19,Santos,1-2,Atlético Mineiro
Q,1,10/07/19,Grêmio,1-1,Bahia
Q,1,10/07/19,Palmeiras,1-0,Internacional
Q,1,10/07/19,Athletico Paranaense,1-1,Flamengo
Q,1,11/07/19,Cruzeiro,3-0,Atlético Mineiro
Q,2,17/07/19,Bahia,0-1,Grêmio
Q,2,17/07/19,Atlético Mineiro,2-0,Cruzeiro
Q,2,17/07/19,Internacional,1-0,Palmeiras
Q,2,17/07/19,Flamengo,1-1,Athletico Paranaense
S,1,07/08/19,Cruzeiro,0-1,Internacional
S,1,14/08/19,Grêmio,2-0,Athletico Paranaense
S,2,04/09/19,Athletico Paranaense,2-0,Grêmio
S,2,04/09/19,Internacional,3-0,Cruzeiro
F,1,11/09/19,Athletico Paranaense,1-0,Internacional
F,2,18/09/19,Internacional,1-2,Athletico Paranaense
