Rodada,Data,Time da Casa,Placar,Time Visitante
1,14/09/52,Barcelona,4-3,Deportivo
1,14/09/52,Sevilla,2-2,Real Madrid
1,14/09/52,Sporting Gijón,4-0,Málaga
1,14/09/52,Atlético de Madrid,5-1,Real Oviedo
1,14/09/52,Real Sociedad,0-0,Valencia
1,14/09/52,Racing Santander,2-0,Athletic Bilbao
1,14/09/52,Celta de Vigo,0-1,Espanyol
1,14/09/52,Real Zaragoza,0-4,Valladolid
2,21/09/52,Valencia,3-2,Celta de Vigo
2,21/09/52,Real Madrid,2-2,Sporting Gijón
2,21/09/52,Espanyol,6-2,Sevilla
2,21/09/52,Athletic Bilbao,3-0,Real Zaragoza
2,21/09/52,Real Oviedo,2-1,Barcelona
2,21/09/52,Valladolid,1-2,Real Sociedad
2,21/09/52,Deportivo,0-1,Racing Santander
2,21/09/52,Málaga,1-3,Atlético de Madrid
3,28/09/52,Barcelona,6-2,Málaga
3,28/09/52,Real Madrid,1-2,Espanyol
3,28/09/52,Sevilla,4-2,Valencia
3,28/09/52,Sporting Gijón,2-0,Atlético de Madrid
3,28/09/52,Real Sociedad,3-1,Athletic Bilbao
3,28/09/52,Racing Santander,0-2,Real Oviedo
3,28/09/52,Celta de Vigo,2-0,Valladolid
3,28/09/52,Real Zaragoza,1-2,Deportivo
4,05/10/52,Valencia,3-2,Real Madrid
4,05/10/52,Espanyol,4-0,Sporting Gijón
4,05/10/52,Athletic Bilbao,5-0,Celta de Vigo
4,05/10/52,Atlético de Madrid,2-1,Barcelona
4,05/10/52,Real Oviedo,3-2,Real Zaragoza
4,05/10/52,Valladolid,0-4,Sevilla
4,05/10/52,Deportivo,1-0,Real Sociedad
4,05/10/52,Málaga,4-2,Racing Santander
5,12/10/52,Real Madrid,3-1,Valladolid
5,12/10/52,Espanyol,2-1,Valencia
5,12/10/52,Sevilla,1-0,Athletic Bilbao
5,12/10/52,Sporting Gijón,0-0,Barcelona
5,12/10/52,Real Sociedad,3-2,Real Oviedo
5,12/10/52,Racing Santander,3-3,Atlético de Madrid
5,12/10/52,Celta de Vigo,2-0,Deportivo
5,12/10/52,Real Zaragoza,0-2,Málaga
6,19/10/52,Barcelona,3-1,Racing Santander
6,19/10/52,Valencia,4-0,Sporting Gijón
6,19/10/52,Athletic Bilbao,2-2,Real Madrid
6,19/10/52,Atlético de Madrid,4-1,Real Zaragoza
6,19/10/52,Real Oviedo,4-0,Celta de Vigo
6,19/10/52,Valladolid,0-1,Espanyol
6,19/10/52,Deportivo,2-0,Sevilla
6,19/10/52,Málaga,2-4,Real Sociedad
7,26/10/52,Valencia,2-0,Valladolid
