Rodada,Data,Time da Casa,Placar,Time Visitante
A,14/09/10,FC Twente,2-2,Internazionale
A,14/09/10,Werder Bremen,2-2,Tottenham
B,14/09/10,Lyon,1-0,Schalke 04
B,14/09/10,Benfica,2-0,Hapoel Tel Aviv
C,14/09/10,Bursaspor,0-4,Valencia
C,14/09/10,Manchester United,0-0,Rangers
D,14/09/10,Barcelona,5-1,Panathinaikos
D,14/09/10,FC Kobenhavn,1-0,Rubin Kazan
E,15/09/10,Bayern München,2-0,Roma
E,15/09/10,CFR Cluj,2-1,FC Basel
F,15/09/10,MSK Zilina,1-4,Chelsea
F,15/09/10,Marseille,0-1,Spartak Moskva
G,15/09/10,Real Madrid,2-0,Ajax
G,15/09/10,Milan,2-0,Auxerre
H,15/09/10,Arsenal,6-0,SC Braga
H,15/09/10,Shakhtar Donetsk,1-0,Partizan
F,28/09/10,Spartak Moskva,3-0,MSK Zilina
E,28/09/10,FC Basel,1-2,Bayern München
E,28/09/10,Roma,2-1,CFR Cluj
F,28/09/10,Chelsea,2-0,Marseille
G,28/09/10,Ajax,1-1,Milan
G,28/09/10,Auxerre,0-1,Real Madrid
H,28/09/10,Partizan,1-3,Arsenal
H,28/09/10,SC Braga,0-3,Shakhtar Donetsk
D,29/09/10,Rubin Kazan,1-1,Barcelona
A,29/09/10,Tottenham,4-1,FC Twente
A,29/09/10,Internazionale,4-0,Werder Bremen
B,29/09/10,Hapoel Tel Aviv,1-3,Lyon
B,29/09/10,Schalke 04,2-0,Benfica
C,29/09/10,Valencia,0-1,Manchester United
C,29/09/10,Rangers,1-0,Bursaspor
D,29/09/10,Panathinaikos,0-2,FC Kobenhavn
F,19/10/10,Spartak Moskva,0-2,Chelsea
E,19/10/10,Roma,1-3,FC Basel
E,19/10/10,Bayern München,3-2,CFR Cluj
F,19/10/10,Marseille,1-0,MSK Zilina
G,19/10/10,Real Madrid,2-0,Milan
G,19/10/10,Ajax,2-1,Auxerre
H,19/10/10,Arsenal,5-1,Shakhtar Donetsk
H,19/10/10,SC Braga,2-0,Partizan
A,20/10/10,FC Twente,1-1,Werder Bremen
A,20/10/10,Internazionale,4-3,Tottenham
