Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
PR,1,23/02/21,Liverpool Montevideo,2-1,Universidad Catolica
PR,1,24/02/21,Universidad César Vallejo,0-0,Caracas FC
PR,1,24/02/21,Royal Pari FC,1-4,Guaraní
PR,2,02/03/21,Universidad Catolica,3-0,Liverpool Montevideo
PR,2,03/03/21,Caracas FC,2-0,Universidad César Vallejo
PR,2,03/03/21,Guaraní,1-1,Royal Pari FC
PR,1,09/03/21,Santos,2-1,Deportivo Lara
PR,1,09/03/21,Montevideo Wanderers,1-0,Bolívar
PR,1,09/03/21,Unión Española,1-0,Independiente del Valle
PR,1,10/03/21,Universidad Catolica,0-1,Libertad
PR,1,10/03/21,Caracas FC,1-2,Junior Barranquilla
PR,1,10/03/21,Grêmio,6-1,Ayacucho FC
PR,1,10/03/21,Universidad de Chile,1-1,San Lorenzo
PR,1,11/03/21,Guaraní,0-2,Atlético Nacional
PR,2,16/03/21,Deportivo Lara,1-1,Santos
PR,2,16/03/21,Bolívar,5-0,Montevideo Wanderers
PR,2,16/03/21,Ayacucho FC,1-2,Grêmio
PR,2,16/03/21,Independiente del Valle,6-2,Unión Española
PR,2,17/03/21,Libertad,2-2,Universidad Catolica
PR,2,17/03/21,Junior Barranquilla,3-1,Caracas FC
PR,2,17/03/21,San Lorenzo,2-0,Universidad de Chile
PR,2,18/03/21,Atlético Nacional,3-0,Guaraní
PR,1,06/04/21,San Lorenzo,1-3,Santos
PR,1,07/04/21,Libertad,1-0,Atlético Nacional
PR,1,08/04/21,Bolívar,2-1,Junior Barranquilla
PR,1,09/04/21,Independiente del Valle,2-1,Grêmio
PR,2,13/04/21,Santos,2-2,San Lorenzo
PR,2,14/04/21,Grêmio,1-2,Independiente del Valle
PR,2,14/04/21,Atlético Nacional,4-1,Libertad
PR,2,15/04/21,Junior Barranquilla,3-0,Bolívar
FG,1,20/04/21,Argentinos Juniors,2-0,Nacional
FG,1,20/04/21,Santos,0-2,Barcelona SC
FG,1,20/04/21,Always Ready,2-0,Internacional
FG,1,20/04/21,Deportivo Táchira,3-2,Olimpia
FG,1,20/04/21,Sporting Cristal,0-3,São Paulo
FG,1,20/04/21,Vélez Sarsfield,2-3,Flamengo
FG,1,21/04/21,The Strongest,0-1,Boca Juniors
FG,1,21/04/21,Dep. La Guaira,1-1,Atlético Mineiro
FG,1,21/04/21,Universitario,2-3,Palmeiras
FG,1,21/04/21,Rentistas,1-1,Racing Club
FG,1,21/04/21,Independiente del Valle,1-1,Defensa y Justicia
FG,1,21/04/21,América de Cali,0-2,Cerro Porteño
FG,1,21/04/21,Unión La Calera,2-2,LDU Quito
FG,1,22/04/21,Fluminense,1-1,River Plate
FG,1,22/04/21,Atlético Nacional,2-0,Univ. Católica
FG,1,22/04/21,Junior Barranquilla,1-1,Santa Fe
FG,2,27/04/21,Atlético Mineiro,2-1,América de Cali
FG,2,27/04/21,Flamengo,4-1,Unión La Calera
FG,2,27/04/21,LDU Quito,3-1,Vélez Sarsfield
FG,2,27/04/21,Boca Juniors,2-0,Santos
FG,2,27/04/21,Palmeiras,5-0,Independiente del Valle
FG,2,27/04/21,Internacional,4-0,Deportivo Táchira
