Concurso,Data,Jogo_Num,Mandante,Gols_Mandante,Visitante,Gols_Visitante,Campeonato,Dia_Semana
195,09/01/2006,1,VILA NOVA,3,GOIAS,0,,Domingo
195,09/01/2006,2,ITABUNA,2,BAHIA,1,,Domingo
195,09/01/2006,3,FORTALEZA,1,GUARANY,0,,Domingo
195,09/01/2006,4,JATAIENSE,1,MINEIROS,0,,Domingo
195,09/01/2006,5,IPITANGA,3,FLUMINENSE,1,,Domingo
195,09/01/2006,6,CONFIANCA,2,OLIMPICO,1,,Domingo
195,09/01/2006,7,NAUTICO,2,CENTRAL,1,,Domingo
195,09/01/2006,8,SANTA CRUZ,1,PORTO,0,,Domingo
195,09/01/2006,9,JUAZEIRO,0,CAMACARI,0,,Domingo
195,09/01/2006,10,VITORIA,1,COLO COLO,1,,Domingo
195,09/01/2006,11,AA RIOVERDENSE,2,ATLETICO,4,,Domingo
195,09/01/2006,12,CRAC,0,ANAPOLINA,1,,Domingo
195,09/01/2006,13,FERROVIARIO,2,QUIXADA,0,,Sábado
195,09/01/2006,14,ICASA,2,CEARA,2,,Domingo
196,16/01/2006,1,CORINTHIANS,5,PORT.SANTISTA,1,,Domingo
196,16/01/2006,2,SANTOS,2,MOGI MIRIM,0,,Domingo
196,16/01/2006,3,MARILIA,1,PALMEIRAS,2,,Domingo
196,16/01/2006,4,VASCO DA GAMA,3,MADUREIRA,1,,Domingo
196,16/01/2006,5,BOTAFOGO,3,FRIBURGUENSE,0,,Domingo
196,16/01/2006,6,VILA NOVA,4,CRAC,1,,Domingo
196,16/01/2006,7,AMERICA,1,VOLTA REDONDA,2,,Sábado
196,16/01/2006,8,CRICIUMA,3,JOINVILLE,4,,Domingo
196,16/01/2006,9,CAMACARI,0,VITORIA,1,,Domingo
196,16/01/2006,10,QUIXADA,2,FORTALEZA,1,,Domingo
196,16/01/2006,11,ITUANO,1,SAO CAETANO,1,,Domingo
196,16/01/2006,12,SANTO ANDRE,0,PONTE PRETA,2,,Domingo
196,16/01/2006,13,FLUMINENSE,4,PORTUGUESA,0,,Domingo
196,16/01/2006,14,FLAMENGO,0,NOVA IGUACU,1,,Sábado
197,23/01/2006,1,BOTAFOGO,5,VASCO DA GAMA,3,,Domingo
197,23/01/2006,2,SAO PAULO,2,SAO CAETANO,1,,Sábado
197,23/01/2006,3,FORTALEZA,6,FERROVIARIO,2,,Domingo
197,23/01/2006,4,ATLETICO,4,VILA NOVA,1,,Domingo
197,23/01/2006,5,VITORIA,2,BAHIA,1,,Domingo
197,23/01/2006,6,AMERICANO,2,FLUMINENSE,2,,Sábado
197,23/01/2006,7,PORTUGUESA,2,FLAMENGO,2,,Domingo
197,23/01/2006,8,AVAI,1,FIGUEIRENSE,2,,Domingo
197,23/01/2006,9,CFZ-BSB,0,BRASILIENSE,6,,Domingo
197,23/01/2006,10,NAUTICO,1,SPORT RECIFE,1,,Domingo
197,23/01/2006,11,ATLETICO,2,CALDENSE,1,,Domingo
197,23/01/2006,12,MOGI MIRIM,1,PALMEIRAS,2,,Domingo
197,23/01/2006,13,SANTOS,3,MARILIA,2,,Domingo
197,23/01/2006,14,PORTUGUESA,2,CORINTHIANS,1,,Domingo
198,30/01/2006,1,FLUMINENSE,2,FLAMENGO,2,,Domingo
198,30/01/2006,2,RIO BRANCO,1,CORINTHIANS,4,,Domingo
198,30/01/2006,3,GOIAS,2,VILA NOVA,2,,Domingo
198,30/01/2006,4,INTERNACIONAL,2,CAXIAS,0,,Sábado
198,30/01/2006,5,CEARA,3,FORTALEZA,6,,Domingo
198,30/01/2006,6,AMERICA,2,VASCO DA GAMA,1,,Sábado
198,30/01/2006,7,GAMA,4,CFZ-BSB,2,,Domingo
198,30/01/2006,8,POCOES,1,VITORIA,6,,Domingo
198,30/01/2006,9,SPORT RECIFE,1,SANTA CRUZ,1,,Domingo
198,30/01/2006,10,CRUZEIRO,0,IPATINGA,0,,Domingo
198,30/01/2006,11,VOLTA REDONDA,3,BOTAFOGO,2,,Domingo
198,30/01/2006,12,AMERICA,2,SANTOS,3,,Domingo
198,30/01/2006,13,PALMEIRAS,4,PORT.SANTISTA,0,,Sábado
198,30/01/2006,14,SAO PAULO,3,GUARANI,3,,Domingo
199,06/02/2006,1,SAO PAULO,4,PALMEIRAS,2,,Domingo
199,06/02/2006,2,ATLETICO,1,CRUZEIRO,1,,Domingo
199,06/02/2006,3,BAHIA,1,VITORIA,1,,Domingo
199,06/02/2006,4,SANTA CRUZ,2,NAUTICO,0,,Domingo
199,06/02/2006,5,ESPORTIVO,2,GREMIO,2,,Domingo
199,06/02/2006,6,INTERNACIONAL,4,PASSO FUNDO,0,,Domingo
199,06/02/2006,7,CRAC,1,VILA NOVA,0,,Domingo
199,06/02/2006,8,ATHLETICO,1,MARINGA,0,,Domingo
199,06/02/2006,9,JOINVILLE,2,MARCILIO DIAS,0,,Domingo
199,06/02/2006,10,GUARA,0,CEILANDIA,6,,Domingo
199,06/02/2006,11,FERROVIARIO,4,CEARA,0,,Domingo
199,06/02/2006,12,PONTE PRETA,2,GUARANI,2,,Domingo
199,06/02/2006,13,PORT.SANTISTA,2,SANTOS,1,,Domingo
199,06/02/2006,14,CORINTHIANS,4,BRAGANTINO,1,,Sábado
