time,região,serie
Cruzeiro,MG,A
EC Vitória,OUTRO,A
Santos,SP,A
América-MG,MG,A
Vasco,RJ,A
Internacional,RS,A
Corinthians,SP,A
Athletico-PR,PR,A
São Paulo,SP,A
Botafogo,RJ,A
Bahia,BA,A
Flamengo,RJ,A
Paraná,PR,A
Ceará,CE,A
Atlético-MG,MG,A
Fluminense,RJ,A
Chapecoense,SC,A
Palmeiras,SP,A
Grêmio,RS,A
Sport,PE,A
Fortaleza,CE,B
Atlético-GO,GO,B
Oeste,SP,B
Vila Nova,GO,B
Londrina,PR,B
Brasil-RS,RS,B
CSA,AL,B
Sampaio Corrêa,MA,B
Figueirense,SC,B
Ponte Preta,SP,B
Boa Esporte,MG,B
Coritiba,PR,B
Juventude,RS,B
São Bento,OUTRO,B
Goiás,GO,B
Guarani,SP,B
CRB,AL,B
Avaí,SC,B
Criciúma,SC,B
Paysandu,PA,B
