Jogo,Data,Time Casa,Time Visitante,Palpite,Significado
1,05/06/15,EC Vitória,Atlético-GO,1,Casa
2,06/06/15,Bragantino,Bahia,2,Fora
3,2015-06-07,Figueirense,Palmeiras,1,Casa
4,06/06/15,Luverdense,Santa Cruz,2,Fora
5,2015-06-07,Internacional,Coritiba,2,Fora
6,2015-06-07,Goiás,Avaí,2,Fora
7,06/06/15,Ceará SC,Sampaio Corrêa,2,Fora
8,2015-06-06,Flamengo,Chapecoense,X,Empate
9,2015-06-06,São Paulo,Grêmio,1,Casa
10,2015-06-06,Santos,Ponte Preta,2,Fora
11,2015-06-07,Fluminense,Sport Recife,1,Casa
12,05/06/15,Náutico,América-MG,X,Empate
13,06/06/15,CRB,ABC,1,Casa
14,2015-06-06,Joinville,Corinthians,X,Empate
