Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/08/07,Santo André,Marília,B,16
2,11/08/07,Gama,Grêmio Barueri,B,18
3,28/08/07,EC Vitória,São Caetano,B,21
4,27/10/07,Fluminense,Atlético-MG,A,33
5,27/10/07,Cruzeiro,Athletico-PR,A,33
6,27/10/07,Santos,Goiás,A,33
7,28/10/07,Sport,São Paulo,A,33
8,28/10/07,America-RN,Flamengo,A,33
9,28/10/07,Grêmio,Nautico,A,33
10,28/10/07,Corinthians,Figueirense,A,33
11,28/10/07,Paraná,Internacional,A,33
12,28/10/07,Juventude,Botafogo,A,33
13,28/10/07,Vasco,Palmeiras,A,33
14,02/11/07,Ipatinga,Ponte Preta,B,34
