Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,23/06/15,Paysandu,EC Vitória,B,9
2,26/06/15,Atlético-GO,Paraná,B,9
3,27/06/2015,Corinthians,Figueirense,A,9
4,27/06/15,Bahia,Luverdense,B,9
5,27/06/15,Santa Cruz,Sampaio Corrêa,B,9
6,27/06/2015,Chapecoense,Sport Recife,A,9
7,27/06/15,Macaé,Botafogo,B,9
8,27/06/15,Mogi Mirim,CRB,B,9
9,27/06/2015,Avaí,Grêmio,A,9
10,27/06/15,Boa,Bragantino,B,9
11,28/06/2015,Vasco da Gama,Flamengo,A,9
12,28/06/2015,Ponte Preta,Atlético-PR,A,9
13,28/06/2015,Palmeiras,São Paulo,A,9
14,28/06/2015,Atlético-MG,Joinville,A,9
