time,região,serie
Corinthians,SP,A
Atlético-MG,MG,A
Grêmio,RS,A
São Paulo,SP,A
Internacional,RS,A
Sport Recife,N,A
Santos,SP,A
Cruzeiro,MG,A
Palmeiras,SP,A
Athletico-PR,PR,A
Ponte Preta,SP,A
Flamengo,RJ,A
Fluminense,RJ,A
Chapecoense,SC,A
Coritiba,PR,A
Figueirense,SC,A
Avaí,SC,A
Vasco da Gama,RJ,A
Goiás,GO,A
Joinville,SC,A
Botafogo,RJ,B
Santa Cruz,N,B
EC Vitória,N,B
América-MG,MG,B
Náutico,N,B
Bragantino,SP,B
Paysandu,PA,B
Sampaio Corrêa,N,B
Bahia,N,B
Luverdense,MT,B
CRB,N,B
Criciúma,SC,B
Paraná,PR,B
Atlético-GO,GO,B
Ceará SC,N,B
Oeste,SP,B
Macaé,RJ,B
ABC,N,B
Boa,MG,B
Mogi Mirim,SP,B
